uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
27.0	2.0	72.616585	86.372556	72.674995	84.766329	0.606298	0.36289299999999997	0.185276	0.250852	9.381822	4.0	85.97466	3.693171	5.0	0.011679	4.496135	5.0	20.762391	0.223998	2.0	5.492426	9.853367	4.0	35.86208	6.727968	1.0	83.735753	2.565429	1.0	0.194885	3.882592	1.0	79.859718	5.331277	6.0	53.563435	15.879325	1.0	19.18489
60.0	2.0	52.02453	25.648769	73.940732	46.306032	0.706216	0.47015500000000005	0.305915	0.288041	3.9303980000000003	5.0	93.469545	8.661506	1.0	0.028865	0.7628060000000001	1.0	21.172019	1.861013	5.0	9.22312	12.214482	3.0	27.095368	25.114082999999997	5.0	30.571309000000003	5.2860059999999995	6.0	0.331383	1.10041	2.0	8.187873	0.41739799999999994	3.0	12.700966000000001	10.497035	4.0	41.300146000000005
153.0	2.0	99.373273	5.676417	68.760544	54.14044200000001	0.116329	0.25553200000000004	0.237873	0.685742	21.305303	4.0	17.930704000000002	7.928526	3.0	0.014208000000000002	4.8955720000000005	2.0	80.95446700000001	6.209732	3.0	63.19815	16.220173000000003	1.0	94.268056	3.3534050000000004	2.0	12.967081	9.639004	1.0	0.010584	1.598551	3.0	32.452942	2.945797	5.0	42.569974	18.853162	5.0	74.797658
511.0	2.0	84.961704	52.394991	95.68041600000001	76.481659	0.101591	0.377263	0.84657	0.338302	15.816557999999999	3.0	26.239240999999996	7.199047	5.0	0.012472	5.8760580000000004	5.0	7.340623	4.456309	3.0	83.608486	15.006225	5.0	38.269861999999996	19.614425	2.0	30.607959	23.769382999999998	1.0	0.143177	5.7241029999999995	1.0	6.919302	0.5041640000000001	1.0	38.36993	3.7653879999999997	3.0	10.334914
760.0	2.0	5.220496	94.381244	14.823031	37.209639	0.464059	0.304642	0.892964	0.141084	23.501471	1.0	76.768171	17.49075	3.0	0.01152	0.653541	1.0	94.57909000000001	3.590679	1.0	12.677916999999999	10.34179	6.0	33.166815	1.186772	3.0	46.633793	19.363514000000002	3.0	0.017197	1.7661209999999998	2.0	29.004383	3.3648949999999997	1.0	1.282409	19.563456	4.0	43.90661
906.0	2.0	28.164589000000003	36.261643	89.136377	18.264160999999998	0.972297	0.9072819999999999	0.12287100000000001	0.835559	20.171514000000002	3.0	76.311447	15.495956	1.0	0.051723000000000005	5.461664	6.0	54.60674100000001	2.9146360000000002	5.0	82.658283	17.941691	3.0	68.273976	5.070844999999999	1.0	17.578023	22.736795	1.0	0.010483	3.308902	2.0	7.047452000000001	5.690112	6.0	74.382776	9.142348	2.0	13.088722
927.0	2.0	9.718114	76.387916	55.07362	44.872183	0.31132600000000005	0.425679	0.160273	0.103487	18.711274	2.0	19.569635	0.9596450000000001	6.0	0.017523	0.41876	3.0	27.100216999999997	5.311634	5.0	7.620496000000001	7.777564999999999	2.0	49.728232	5.350662000000001	4.0	35.258604999999996	13.431792999999999	4.0	0.027601999999999998	2.9525919999999997	3.0	36.736796999999996	4.86182	4.0	4.098825	2.6564360000000002	5.0	63.195601
1109.0	2.0	53.171279000000006	7.104775999999999	58.43077099999999	76.596087	0.102019	0.351827	0.44581899999999997	0.541853	19.369387	4.0	84.821025	1.553339	1.0	0.12388099999999999	2.030995	5.0	89.263563	4.910229	2.0	43.517793	5.948703	5.0	13.202549	19.522682999999997	6.0	3.603967	20.527755	3.0	0.046937	0.20639699999999997	6.0	77.841225	3.5966370000000003	3.0	8.622038	8.078247	1.0	13.899157
1167.0	2.0	39.642886	90.522272	65.015344	99.94811	0.819983	0.432763	0.8820540000000001	0.12563	7.512053999999999	4.0	35.2182	6.042223	2.0	0.018585	1.396115	3.0	93.334154	2.601007	4.0	55.691887	20.380354999999998	2.0	82.55098199999999	0.319659	2.0	4.063244	7.6102240000000005	2.0	0.022702	0.410149	3.0	17.104885999999997	1.8103650000000002	6.0	26.211914	17.386939	6.0	85.079561
1234.0	2.0	70.886901	8.010471	14.045191	29.122517	0.354058	0.408443	0.7190340000000001	0.8849870000000001	14.342323	6.0	23.417678	15.545471	3.0	0.044424	0.8594430000000001	3.0	53.093740000000004	3.1511669999999996	5.0	8.585398	10.261623	4.0	7.192646000000001	8.113036	6.0	4.1495239999999995	15.327142000000002	1.0	0.032354	0.113822	4.0	29.930219	0.939441	1.0	93.03586800000001	5.522214	6.0	6.6332130000000005
