uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
25.0	2.0	69.932861	57.235682999999995	83.195266	77.97709300000001	0.908575	0.491142	0.338134	0.19023199999999998	16.45055	3.0	7.217641	16.970804	4.0	0.030279	6.158116000000001	3.0	16.849357	2.309108	5.0	60.095404	22.203997	4.0	61.718419	22.885583	3.0	4.794967	14.157185	2.0	0.017897	3.047503	5.0	2.045086	5.938667	6.0	67.64766999999999	8.978107000000001	2.0	78.24186800000001
37.0	2.0	46.322627000000004	78.976122	76.499184	67.89944200000001	0.442867	0.76343	0.187129	0.7970010000000001	21.188396	3.0	44.773499	17.971145	6.0	0.013123	3.574779	6.0	46.236649	2.556285	1.0	97.384683	16.807479	2.0	66.854083	9.99141	1.0	15.855785999999998	2.066698	5.0	0.103815	2.26095	2.0	86.956082	1.8497080000000001	6.0	33.414124	8.784127	6.0	6.662141
45.0	2.0	81.433936	20.676406	45.861088	97.469257	0.227717	0.10288599999999999	0.657094	0.63845	13.001128	6.0	17.811989999999998	10.013415	1.0	0.012508	1.44449	1.0	13.047625	6.192769999999999	2.0	56.955026000000004	5.277216	5.0	6.436464	9.464209	1.0	48.926297	9.882336	2.0	0.0105	1.220574	5.0	70.891083	5.6676720000000005	2.0	4.494712	16.925485000000002	1.0	5.978514
51.0	2.0	76.340936	45.159977000000005	58.018083	97.951725	0.383237	0.738794	0.9745469999999999	0.959526	21.352981	5.0	27.478841999999997	19.920593	3.0	0.017258000000000003	5.450896	5.0	33.520635	4.130317	2.0	56.583544999999994	20.730022	1.0	89.226951	5.246015	2.0	1.8354529999999998	19.637838000000002	6.0	0.049455	2.090949	3.0	76.472557	0.478742	2.0	18.777931	4.498589	5.0	51.583725
63.0	2.0	93.111631	24.93555	71.382789	76.99189100000001	0.729589	0.245046	0.232977	0.12521400000000002	21.065064000000003	3.0	88.694125	13.845823999999999	2.0	0.016219	5.36911	2.0	1.6529310000000002	1.475444	3.0	53.703904	20.232209	6.0	66.76113000000001	14.768117000000002	3.0	89.659181	11.421673	1.0	0.011231999999999999	3.225443	5.0	16.741214000000003	1.539791	1.0	60.167536	22.501534	2.0	22.94501
64.0	2.0	72.758678	81.521512	21.926384	77.755235	0.403301	0.928475	0.391178	0.973708	5.443105999999999	4.0	89.976566	17.296819	2.0	0.013059000000000001	4.282514	3.0	2.12367	4.349499	6.0	22.620679	13.427444	5.0	1.50224	8.53408	6.0	41.593115999999995	13.253354999999999	6.0	0.029188	1.609289	5.0	47.364124	0.18269200000000002	3.0	61.573043999999996	5.719930000000001	4.0	19.549909
68.0	2.0	7.008798	15.979825	76.18110899999999	93.907663	0.474204	0.37786	0.321653	0.657086	23.323526	2.0	64.87482	21.776566	3.0	0.06878	2.408445	3.0	38.598719	1.7976450000000002	4.0	66.339685	8.578926	1.0	29.420603999999997	4.214076	2.0	61.256777	4.351568	6.0	0.029657999999999997	2.4248279999999998	6.0	79.651804	4.11544	6.0	5.50847	8.222947999999999	1.0	29.312231
89.0	2.0	70.299963	72.078174	28.027341999999997	73.959471	0.23465999999999998	0.46850200000000003	0.9825389999999999	0.340563	20.251994	2.0	66.007592	8.917744	6.0	0.482071	3.820753	1.0	25.886857	1.0460209999999999	2.0	53.854715	17.166656	2.0	86.524087	16.959449	3.0	76.704725	10.375592999999999	4.0	0.033826	3.9121370000000004	5.0	51.800818	1.157459	6.0	43.528378000000004	7.373710000000001	4.0	58.078618999999996
91.0	2.0	54.902508	34.076555	96.794304	95.866805	0.314172	0.12416400000000001	0.997257	0.6832550000000001	15.434572	1.0	57.465074	19.852432	3.0	0.036726	3.576742	3.0	60.788703000000005	4.794236	2.0	66.691137	6.760483	6.0	44.919993	2.836961	1.0	9.465066	5.042464	4.0	0.022927	5.1216669999999995	1.0	87.729125	3.814857	3.0	9.167871	11.707676	3.0	54.086112
92.0	2.0	94.028727	28.617151	70.638588	68.532051	0.36848800000000004	0.857873	0.215667	0.44152700000000006	2.354124	2.0	16.929571	21.301779999999997	4.0	0.018391	1.229752	2.0	42.955575	3.8124260000000003	3.0	25.986863	10.818331	2.0	95.83411600000001	21.319134	5.0	69.877889	23.835342999999998	4.0	0.04929	4.534224	5.0	45.573366	0.07494400000000001	4.0	64.363413	9.032727000000001	6.0	11.048964999999999
102.0	2.0	86.173223	21.022576	45.483786	68.027231	0.334884	0.849092	0.925608	0.153705	21.751194	3.0	36.565719	8.947179	3.0	0.018479	1.491223	2.0	32.921682000000004	2.842791	4.0	26.022265	13.340319000000001	1.0	71.83936800000001	21.094920000000002	6.0	80.311548	4.155808	5.0	0.033828	0.836168	6.0	52.397432	2.6883220000000003	1.0	67.069526	12.544321	3.0	11.800152
105.0	2.0	61.884558	63.361355	58.221863	85.679524	0.46122799999999997	0.28089000000000003	0.555198	0.257872	6.557991	5.0	82.566135	3.272185	5.0	0.125578	2.399233	1.0	18.230757999999998	2.948999	4.0	73.66005899999999	17.049068	6.0	90.601427	7.052289999999999	2.0	29.613335	17.324433	4.0	0.018602	3.0169349999999997	6.0	89.372029	1.2787190000000002	3.0	40.231367	8.372330999999999	1.0	11.408942
