index_no	uid	no_of_states	HH	HL	LH	LL	
1	28	4	0.133	0.497	0.297	0.073	
2	31	4	0.266	0.433	0.204	0.097	
3	46	4	0.181	0.187	0.461	0.171	
4	184	4	0	0.129	0.695	0.176	
5	188	4	0.129	0.536	0.265	0.07	
6	198	4	0.162	0.408	0.201	0.229	
7	200	4	0.28	0.215	0.428	0.077	
8	202	4	0.442	0.189	0.278	0.091	
9	219	4	0.325	0.327	0.262	0.086	
10	221	4	0.152	0.583	0.265	0	
11	222	4	0.095	0.247	0.356	0.302	
12	243	4	0.082	0.438	0.287	0.193	
13	252	4	0.032	0.283	0.327	0.358	
14	265	4	0.06	0.417	0.448	0.075	
15	287	4	0.243	0.354	0.285	0.118	
16	304	4	0.183	0.238	0.456	0.123	
17	311	4	0.13	0.398	0.27	0.202	
18	426	4	0.198	0.327	0.388	0.087	
19	436	4	0.273	0.249	0.351	0.127	
20	493	4	0.219	0.364	0.286	0.131	
21	528	4	0	0.584	0.229	0.187	
22	548	4	0.07	0.235	0.474	0.221	
23	568	4	0.213	0.385	0.182	0.22	
24	575	4	0.201	0.391	0.408	0	
25	615	4	0.396	0.222	0.325	0.057	
26	672	4	0.339	0.336	0.257	0.068	
27	685	4	0.105	0.295	0.437	0.163	
28	705	4	0.369	0.273	0.275	0.083	
29	733	4	0.236	0.372	0.211	0.181	
30	737	4	0.2	0.396	0.259	0.145	
31	740	4	0.071	0.485	0.242	0.202	
32	764	4	0.122	0.502	0.209	0.167	
33	768	4	0.22	0.338	0.34	0.102	
34	791	4	0.119	0.417	0.363	0.101	
35	792	4	0	0.593	0.31	0.097	
36	808	4	0.203	0.492	0.227	0.078	
37	840	4	0.177	0.14	0.528	0.155	
38	868	4	0.199	0.351	0.45	0	
39	891	4	0.269	0.4	0.215	0.116	
40	906	4	0	0.547	0.37	0.083	
41	908	4	0.404	0.248	0.255	0.093	
42	912	4	0.313	0.249	0.438	0	
43	932	4	0.164	0.18	0.402	0.254	
44	976	4	0	0.492	0.445	0.063	
45	980	4	0.183	0.328	0.489	0	
46	989	4	0.337	0.13	0.533	0	
47	1061	4	0.074	0.24	0.534	0.152	
48	1087	4	0.155	0.418	0.427	0	
49	1095	4	0	0.376	0.386	0.238	
50	1116	4	0	0.225	0.7	0.075	
51	1147	4	0.404	0.201	0.33	0.065	
52	1150	4	0	0.605	0.325	0.07	
53	1216	4	0.631	0.369	0	0	
54	1217	4	0.194	0.232	0.392	0.182	
55	1267	4	0.313	0.198	0.398	0.091	
56	1348	4	0	0.486	0.427	0.087	
57	1403	4	0.105	0.58	0.151	0.164	
58	1408	4	0.179	0.348	0.389	0.084	
59	1439	4	0.264	0.37	0.294	0.072	
60	1443	4	0	0	0.423	0.577	
61	1449	4	0.068	0.351	0.28	0.301	
62	1513	4	0.443	0.557	0	0	
63	1546	4	0.3	0.325	0.309	0.066	
64	1570	4	0.39	0.208	0.312	0.09	
65	1572	4	0.271	0.302	0.33	0.097	
66	1581	4	0.352	0.379	0.269	0	
67	1585	4	0	0.519	0.403	0.078	
