uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
7.0	2.0	97.641841	36.297048	43.753708	28.925788	0.582479	0.390203	0.379118	0.25454099999999996	16.943027999999998	1.0	39.737474	68.742817	5.0	0.015468	4.324	4.0	31.451007	22.325935	2.0	64.73325	44.188668	1.0	22.552198	21.072207000000002	4.0	0.012145999999999999	2.691421	4.0	51.206458000000005	5.824997	6.0	92.095404
8.0	2.0	42.077714	76.468604	76.58729100000001	26.904265000000002	0.183272	0.6477229999999999	0.360094	0.901093	11.174026	4.0	78.855384	62.517501	2.0	0.016252000000000003	12.502052	6.0	43.047237	5.359687999999999	2.0	21.172229	27.689342	1.0	56.78312	7.2710300000000005	3.0	0.011937	3.972275	1.0	73.166803	4.3778760000000005	4.0	91.111806
16.0	2.0	54.633481	83.613546	52.717546	90.730734	0.371954	0.14846700000000002	0.9289360000000001	0.6642520000000001	7.111492	1.0	13.732857000000001	46.245803	2.0	0.019273	7.822506	4.0	76.45421400000001	6.360132	2.0	51.214185	26.801567	1.0	88.363703	7.703428999999999	5.0	0.095234	3.494217	3.0	43.715896	4.503125	2.0	98.985738
20.0	2.0	87.31397700000001	44.835879	49.987706	46.528384	0.711968	0.640021	0.971986	0.178286	11.000759	4.0	26.369578000000004	17.843525	3.0	0.048067	13.347517999999999	3.0	20.159957000000002	11.138407	1.0	65.99401999999999	7.793382000000001	5.0	48.28709	20.323888	4.0	0.013587	4.825285	3.0	21.818201000000002	0.258782	3.0	64.699577
40.0	2.0	53.257749	77.322734	67.24714	60.277866	0.895013	0.11333900000000001	0.663204	0.5755779999999999	24.060031	6.0	37.605909999999994	32.740088	2.0	0.017091	15.141537	1.0	65.037306	9.810996000000001	5.0	97.121897	32.619734	6.0	4.992728	1.980145	5.0	0.010895	4.338203	1.0	56.978815000000004	3.531431	1.0	72.43769
59.0	2.0	21.909074	58.334621	16.875404999999997	84.670298	0.19297999999999998	0.27331300000000003	0.448367	0.431409	21.325824	5.0	23.542951000000002	42.739307000000004	6.0	0.12231600000000001	2.977607	1.0	96.10297800000001	6.585371	5.0	59.349571999999995	6.493931	2.0	66.544001	7.623775999999999	6.0	0.013850999999999999	2.855911	6.0	90.916288	5.104902	2.0	7.315455
62.0	2.0	13.312751	66.420699	74.399698	18.744418	0.224873	0.9302889999999999	0.712227	0.256748	23.418278	5.0	68.340775	41.379125	2.0	0.068247	16.475185	4.0	83.047493	3.970736	3.0	96.23868	5.067328	3.0	28.400140000000004	9.466845	1.0	0.021889	3.4196489999999997	2.0	85.100583	1.380495	3.0	27.149615999999998
66.0	2.0	97.10641899999999	86.639782	21.869431	71.975482	0.158474	0.368915	0.9780110000000001	0.404499	8.850966	3.0	48.088366	14.213707000000001	2.0	0.014012	14.376351999999999	5.0	21.099148	22.82066	3.0	71.552155	58.909411999999996	1.0	52.642219	9.203621	2.0	0.010032	4.433564	5.0	27.541234999999997	1.6908759999999998	3.0	47.486804
84.0	2.0	50.945968	75.933068	9.74939	73.95113	0.48229700000000003	0.17873599999999998	0.557814	0.488691	17.709254	4.0	61.37666	73.697846	1.0	0.015399000000000001	16.3303	4.0	32.773156	13.765785000000001	4.0	94.33961500000001	25.648069	2.0	43.72088	23.996667000000002	4.0	0.034626	0.19001600000000002	6.0	32.186526	5.211876	4.0	13.300355999999999
85.0	2.0	52.008506	93.938498	66.299931	44.398123999999996	0.952002	0.763849	0.24808400000000003	0.532379	11.040478	5.0	75.821014	10.634864	5.0	0.020658000000000003	3.770614	5.0	81.88153	20.709078	3.0	47.443729	57.47446600000001	2.0	50.438254	5.231528	4.0	0.011922	5.758982	6.0	10.494841000000001	2.06763	2.0	70.812435
90.0	2.0	81.738014	24.848438	99.229927	60.949673	0.35841300000000004	0.801581	0.461566	0.399608	6.822471000000001	1.0	14.594223000000001	21.351295	4.0	0.025855	12.241712	3.0	55.957046999999996	10.331536999999999	5.0	51.669631	57.988161	2.0	86.284468	6.626627	5.0	0.037943	2.399916	4.0	31.361964	2.771754	1.0	76.331114
97.0	2.0	23.778056	98.031178	10.270744	78.08391999999999	0.695157	0.620875	0.311827	0.638484	21.305045	5.0	12.731472	45.29257	3.0	0.011281	7.1722529999999995	6.0	48.35857	10.429203999999999	2.0	85.074411	36.758834	1.0	26.647388	10.205603	3.0	0.010352	2.698682	5.0	13.220664000000001	0.43857799999999997	5.0	14.312267000000002
104.0	2.0	16.975527	65.268417	13.88764	63.919709	0.336633	0.365189	0.349252	0.11710899999999999	23.794366	2.0	57.497527000000005	41.737446999999996	6.0	0.037298000000000005	15.188579	4.0	77.613814	1.341591	4.0	52.828134	56.439255	2.0	21.637542	11.919846000000001	1.0	0.177649	3.8623589999999997	1.0	70.389425	5.469855	3.0	25.629306
108.0	2.0	10.332723	81.720049	40.904255	77.382223	0.603378	0.9129649999999999	0.990381	0.14263900000000002	18.666028	4.0	68.670108	46.768259	3.0	0.01028	2.3672560000000002	5.0	32.246179999999995	23.719406	1.0	9.647378999999999	36.1477	1.0	5.875233000000001	15.749053	5.0	0.018844999999999997	0.672078	5.0	17.326381	1.754878	5.0	35.062292
115.0	2.0	79.533085	43.126123	41.69016	43.098065999999996	0.8339110000000001	0.530258	0.997856	0.512286	5.207469000000001	1.0	45.957066999999995	12.883819	2.0	0.161144	8.680883999999999	3.0	83.39014300000001	19.661456	4.0	82.37586999999999	44.392526000000004	1.0	39.422325	20.145801000000002	4.0	0.015080000000000001	4.510097	1.0	65.636813	3.1360330000000003	3.0	3.464206
123.0	2.0	18.899036	56.403617000000004	51.291228000000004	62.102796	0.926746	0.29239	0.566125	0.767482	19.77215	3.0	44.112632	10.204831	4.0	0.06434400000000001	2.795709	5.0	4.481794	7.725532	3.0	36.40919	48.521034	6.0	50.847927	11.053954	4.0	0.022239	0.14715799999999998	5.0	25.934109	2.778731	1.0	3.268215
125.0	2.0	26.433037	45.830119	20.631977	73.92571099999999	0.646763	0.500974	0.208673	0.955181	14.420835	1.0	17.412589999999998	25.259976	6.0	0.020903	8.230591	2.0	18.043394	17.871753	4.0	11.047459	52.141687	3.0	86.85128	18.110444	3.0	0.012684	0.291423	1.0	23.710662	1.38467	3.0	48.220488
133.0	2.0	53.837571	35.880137	29.340244000000002	63.036864	0.772806	0.596685	0.787463	0.138436	20.421315	1.0	33.989238	59.247845999999996	5.0	0.010323	2.53652	6.0	74.692297	9.330103	6.0	4.315974	67.680729	3.0	16.218867000000003	9.189262	2.0	0.018756000000000002	1.786878	3.0	82.192033	4.2883510000000005	3.0	29.141834000000003
