uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
9.0	3.0	95.640627	62.745764	4.290566	40.254837	0.8003239999999999	0.8316610000000001	0.35236799999999996	0.989078	1.3934600000000001	3.0	8.435885	4.1978	1.0	0.019288999999999997	15.310845	1.0	53.467459999999996	7.076963	3.0	33.512991	9.648133	4.0	26.18427	21.158389	2.0	0.043318	0.42513500000000004	1.0	52.96844300000001	1.204985	1.0	92.439295	3.37385	4.0	93.245491
11.0	3.0	73.09729200000001	86.480079	39.328835999999995	33.204006	0.311828	0.273805	0.513537	0.733879	18.801196	3.0	23.773857	11.375515	4.0	0.011861	15.517829999999998	6.0	37.978871999999996	4.707288	4.0	13.781185999999998	1.807173	3.0	59.595760999999996	13.308364000000001	6.0	0.020966	5.792754	1.0	41.517007	1.543269	4.0	27.326574	7.191222	3.0	2.895641
15.0	3.0	66.34741	13.555871	45.732006	58.709954	0.40868899999999997	0.894136	0.34257600000000005	0.460639	20.082677	3.0	70.31140400000001	14.058017000000001	4.0	0.017202000000000002	2.188756	1.0	37.164344	3.4877550000000004	1.0	46.081604	0.9552930000000001	4.0	62.749476	14.064701999999999	2.0	0.015088999999999998	5.516223	3.0	37.785983	2.957337	2.0	86.291775	14.645076999999999	6.0	43.691902
19.0	3.0	87.255262	50.234176	87.508871	33.22907	0.908434	0.9167799999999999	0.894351	0.42927200000000004	4.293325	2.0	67.685705	4.35278	1.0	0.011257	4.081237000000001	4.0	61.898222	13.155698999999998	6.0	93.95288599999999	3.844232	3.0	26.822044	14.985029	1.0	0.037861	3.554276	2.0	26.788634000000002	3.9691349999999996	1.0	27.994564	0.5616399999999999	4.0	22.916221
24.0	3.0	99.562324	39.425383000000004	39.924169	98.58239499999999	0.781346	0.311002	0.974784	0.437659	14.333525	1.0	77.361861	12.067174000000001	1.0	0.020281999999999998	4.24909	3.0	97.691928	0.47492700000000004	3.0	77.892721	12.793607000000002	1.0	98.82494200000001	9.617261	1.0	0.021387	1.449445	3.0	52.288622	1.538602	3.0	48.74176	22.821373	6.0	60.472989
39.0	3.0	73.01395	96.833236	78.04496400000001	33.266040999999994	0.888857	0.18065499999999998	0.38853000000000004	0.22790900000000003	1.223455	2.0	18.089401000000002	2.886185	4.0	0.012255	14.877135999999998	1.0	93.395605	1.5133940000000001	6.0	69.024398	21.196342	4.0	30.738484999999997	6.4299349999999995	6.0	0.014615000000000001	0.700092	2.0	5.712955	1.885113	5.0	4.31623	5.93423	6.0	44.883007
88.0	3.0	63.056963	74.42704599999999	43.01319	47.514936	0.43508	0.17030599999999999	0.345477	0.5333100000000001	18.044527	4.0	27.414746	11.167221000000001	3.0	0.013600999999999999	7.458039	1.0	9.754344	9.374436	3.0	44.038875	9.736162	3.0	75.654916	18.587272	5.0	0.020158000000000002	1.523073	5.0	70.74274799999999	0.308954	1.0	45.870847999999995	20.437268	4.0	42.718277
104.0	3.0	78.694223	97.26665600000001	47.221605	63.225345	0.469397	0.9147700000000001	0.949356	0.182719	17.014854	1.0	33.162869	7.73729	1.0	0.106523	10.46311	6.0	64.42072900000001	12.063099000000001	5.0	19.373701999999998	24.700711	5.0	84.398331	17.027332	1.0	0.012064	2.122991	6.0	3.261372	1.345542	5.0	19.702251	22.874379	5.0	51.515757
113.0	3.0	91.520104	17.697754	41.332566	98.59974100000001	0.21277	0.239137	0.227861	0.48298800000000003	21.811901000000002	2.0	83.830329	6.432212	3.0	0.110114	16.841207	5.0	34.741423	13.31634	5.0	79.779377	23.015723	3.0	42.309244	18.484544	6.0	0.014204	0.141471	6.0	67.702998	0.6907399999999999	1.0	72.276602	16.52461	3.0	2.907483
116.0	3.0	55.515246999999995	94.699738	88.74764300000001	42.839042	0.25868	0.401586	0.688708	0.152031	17.702292	1.0	93.154569	5.117694999999999	5.0	0.041074	7.227075	3.0	61.518613	18.759923	1.0	68.092387	16.037907999999998	4.0	91.660365	16.27401	1.0	0.155724	1.142093	6.0	28.369836	1.6566889999999999	2.0	60.904171999999996	22.374444	1.0	33.751159
