uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
2.0	3.0	17.856436	77.509805	72.979635	3.033741	0.671724	0.8855360000000001	0.210259	0.979326	5.446161	3.0	47.347919	10.213127	1.0	0.013626	12.220141	5.0	33.816429	10.393127	2.0	72.909767	24.647006	3.0	22.884521	11.938279	1.0	0.118623	4.893088	4.0	20.683553	1.013201	4.0	83.384341	14.562117	4.0	50.567795000000004
3.0	3.0	41.122242	89.080517	79.552658	79.637006	0.626112	0.231607	0.755043	0.21072800000000003	11.430665	6.0	60.007433	23.474686	2.0	0.021679	10.233103999999999	6.0	63.035816000000004	22.973574	4.0	68.04093	19.84937	6.0	21.503726	4.099666	1.0	0.024479	5.80227	3.0	23.805232	5.717633999999999	4.0	20.926338	10.205645	1.0	96.3899
5.0	3.0	59.043775	38.404298	64.19386999999999	67.79713100000001	0.329542	0.37700700000000004	0.762702	0.606804	18.647656	5.0	74.699912	11.603848	5.0	0.026860000000000002	13.006041	2.0	38.927999	3.5206980000000003	1.0	68.628498	21.448833999999998	1.0	73.254127	22.225494	4.0	0.053587	4.030921	3.0	93.214104	3.018493	1.0	47.339195000000004	6.355614	3.0	1.403471
7.0	3.0	49.256524	14.382805	25.359385999999997	72.387712	0.212088	0.178517	0.991258	0.545809	22.525551999999998	3.0	40.942523	25.104947	1.0	0.023602	11.756859	5.0	43.048869	13.246322	5.0	40.08826	11.76038	6.0	60.026899	17.277594	4.0	0.08615700000000001	0.303654	6.0	62.299682	0.180894	3.0	28.2037	15.605013	5.0	99.181488
14.0	3.0	56.97793299999999	39.96414	53.906175	95.370457	0.143756	0.147767	0.40358299999999997	0.317849	23.968107	5.0	38.461176	12.269714	5.0	0.024988	4.680441	1.0	42.060961	14.003667000000002	5.0	73.466397	6.239406	4.0	98.147959	6.366846	2.0	0.019593	5.620566999999999	4.0	90.652106	5.186843	3.0	96.814337	3.2818989999999997	4.0	26.488484999999997
16.0	3.0	69.169136	70.246161	32.456996999999994	26.18565	0.441594	0.508845	0.85459	0.749632	21.857893	2.0	52.274793	2.815126	4.0	0.018914	3.993722	6.0	10.673089	24.149901999999997	5.0	39.585603000000006	4.609729	6.0	48.435114	4.557437	4.0	0.452615	2.914683	6.0	19.906095	2.5856	4.0	59.250602	19.400128	5.0	17.688035
22.0	3.0	9.397909	98.473347	72.582313	20.809322	0.12391300000000001	0.434457	0.8754940000000001	0.518372	14.615648	1.0	31.647519	13.761773999999999	4.0	0.014627000000000001	14.627491000000001	3.0	24.722277	19.199463	3.0	55.467174	22.758085	5.0	40.462694	23.615074	3.0	0.030672	1.7572900000000002	3.0	61.173764	4.668789	5.0	18.930932000000002	4.093292	3.0	40.357226000000004
23.0	3.0	8.690999	86.947062	10.69697	13.573084	0.49860200000000005	0.182062	0.755541	0.9727790000000001	18.157949	6.0	65.531313	18.447384	3.0	0.01061	14.388808	6.0	93.20380300000001	5.525021	5.0	56.249212	14.838496	1.0	1.828854	6.613248	1.0	0.027326999999999997	0.484439	6.0	90.72326	1.993253	1.0	66.04484599999999	12.398132	6.0	68.466983
28.0	3.0	9.91189	19.654217000000003	4.911836	84.958013	0.10590799999999999	0.315695	0.103281	0.807591	6.354071	4.0	7.074047	18.632134	1.0	0.011203	4.751026	5.0	40.11736	3.6802080000000004	6.0	51.037423	20.831469	6.0	45.625313	20.552849	5.0	0.020419	4.912946	5.0	71.831165	1.150044	3.0	84.537479	22.300462	1.0	62.71593299999999
29.0	3.0	78.555977	59.201465	54.297996	81.86845100000001	0.512171	0.176731	0.532508	0.7728109999999999	16.958942	3.0	56.463196999999994	18.389834	4.0	0.086623	6.436208000000001	2.0	21.565201000000002	12.47838	3.0	62.716156999999995	9.631325	2.0	99.107796	18.035188	4.0	0.018463999999999998	3.281074	4.0	73.818475	1.092655	2.0	71.05149200000001	19.882776999999997	1.0	99.989411
31.0	3.0	10.664046	39.250822	64.192465	86.289415	0.169757	0.35462899999999997	0.69903	0.351067	7.758122	6.0	48.488597	14.00035	3.0	0.026842	9.24048	3.0	85.248313	8.685967	1.0	72.755942	4.302942	6.0	36.979861	17.774157000000002	2.0	0.037985000000000005	1.440588	2.0	39.959677	2.2543849999999996	5.0	40.647733	9.572821000000001	5.0	23.561364
