uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
4.0	2.0	90.294256	84.644559	38.975746	21.322179000000002	0.18923399999999999	0.310691	0.41737700000000005	0.19601400000000002	1.123707	2.0	89.923109	19.142705	5.0	0.011809	4.266030000000001	2.0	90.711838	0.32121700000000003	1.0	80.422061	8.529831	3.0	24.792229000000003	14.918345	5.0	49.181288	15.083445999999999	5.0	0.019858	2.435222	6.0	27.004103999999998	9.351563	2.0	45.087878
7.0	2.0	23.757170000000002	63.868880000000004	61.057451	34.226246	0.5414640000000001	0.829839	0.524803	0.8062010000000001	20.167251	5.0	63.910610999999996	10.99952	1.0	0.01374	2.873208	2.0	16.959086	5.414338	1.0	81.914938	7.830601	3.0	64.27821800000001	23.637508999999998	3.0	12.272401	17.450247	4.0	0.013194999999999998	6.870592	6.0	61.401906999999994	3.8020650000000002	4.0	20.111406
16.0	2.0	56.346068	86.86170600000001	35.585811	51.439896000000005	0.39348	0.419333	0.7417	0.5733159999999999	13.526917000000001	2.0	41.133103999999996	1.7521490000000002	5.0	0.010577	2.726391	2.0	14.28933	1.794445	5.0	25.000308999999998	10.852754	2.0	5.304206	25.231264000000003	1.0	40.955562	22.388103	5.0	0.025689	12.159272999999999	2.0	85.99382299999999	2.9601900000000003	2.0	80.307562
32.0	2.0	94.93476700000001	11.26506	74.94638	11.659559	0.225138	0.22232600000000002	0.826218	0.408565	21.548381	5.0	25.91835	2.044359	2.0	0.014704	2.391432	3.0	11.324615	3.14412	2.0	80.563538	9.916469000000001	2.0	86.166853	15.771953	4.0	9.330391	0.341003	1.0	0.126676	10.844555999999999	5.0	5.735976	11.180547	2.0	16.635556
34.0	2.0	75.36459	77.003401	94.384617	33.355918	0.64566	0.8970879999999999	0.166562	0.229751	9.925403999999999	3.0	64.34742	7.679725	4.0	0.017345	1.294719	1.0	1.4269319999999999	4.547527	3.0	51.480185	13.295292000000002	3.0	78.477982	14.180141	6.0	8.087483	19.095499	2.0	0.015846000000000002	17.644702	6.0	93.10669200000001	18.095934	1.0	55.506974
43.0	2.0	22.938026	32.362373999999996	34.246361	27.372805	0.35496300000000003	0.40902	0.103702	0.60346	0.266729	4.0	77.253563	14.117556	3.0	0.036438	4.71125	3.0	98.263485	1.332989	6.0	46.074017	8.124635000000001	1.0	39.307449	9.250644	2.0	56.363052	9.748124	1.0	0.015871	9.204829	5.0	21.625101	13.138979	1.0	47.498144
60.0	2.0	83.87269	83.472254	24.785389000000002	70.832063	0.341597	0.937125	0.9772790000000001	0.294327	5.362076	4.0	64.767833	25.092323	4.0	0.040746	1.589744	3.0	57.217941	1.5215450000000001	5.0	19.419539999999998	6.718463000000001	2.0	42.809877	21.336442	4.0	11.236157	7.489736	5.0	0.13951	5.599591	2.0	19.51568	2.4438150000000003	2.0	23.592715
63.0	2.0	26.607762	78.440762	32.848690999999995	59.330075	0.302532	0.5932149999999999	0.766112	0.23967	14.536525	4.0	2.881424	18.8862	6.0	0.022947	0.27221300000000004	2.0	61.054811	2.55	4.0	86.479449	9.240986999999999	3.0	11.174605	14.085134	6.0	50.270844	16.629454	2.0	0.014303999999999999	15.600863	2.0	98.542796	2.422367	4.0	40.406701
68.0	2.0	12.575445	77.928416	11.372537	40.467994	0.33427199999999996	0.366869	0.5063270000000001	0.7670859999999999	1.348371	1.0	50.900166	2.298655	1.0	0.028997000000000002	1.828871	2.0	45.640233	0.096801	3.0	62.753083999999994	7.744407000000001	1.0	76.976105	12.636027	5.0	21.623368	17.705510999999998	1.0	0.011054000000000001	8.238619	6.0	95.699303	17.588060000000002	1.0	92.421065
74.0	2.0	64.63289	72.45429	68.677207	48.467778	0.794401	0.726391	0.674117	0.977103	21.56927	6.0	64.875362	5.581501	3.0	0.014384000000000001	6.247129	4.0	91.819644	5.797999	2.0	68.75747	16.594807	6.0	92.82236400000001	21.406973999999998	1.0	90.0894	18.752330999999998	1.0	0.015021000000000001	13.57378	1.0	41.915864	7.384302000000001	1.0	88.239981
80.0	2.0	66.390776	42.411294	30.88798	71.611474	0.765193	0.732446	0.281339	0.155203	4.140305000000001	1.0	67.953225	10.056349	2.0	0.012273000000000001	4.635353	5.0	41.123689	1.84128	1.0	59.407988	16.619735000000002	2.0	68.725623	16.389222	2.0	22.714363	9.967080000000001	5.0	0.012784	7.328465	1.0	51.352034	2.669397	5.0	25.942184
81.0	2.0	10.387065	10.764593	75.618962	14.17058	0.113434	0.6047170000000001	0.22221999999999997	0.777736	12.130689	2.0	47.743214	16.633635	4.0	0.01806	0.809275	1.0	39.737456	4.293762999999999	2.0	17.701719	6.88019	2.0	74.897784	11.043323	5.0	29.221054	20.052329	3.0	0.015584	4.80558	4.0	62.465621	17.144170000000003	2.0	79.119848
87.0	2.0	35.58753	52.414805	92.841078	26.199906	0.299244	0.590739	0.7611979999999999	0.35679099999999997	14.654773	4.0	73.42761800000001	2.460762	6.0	0.021544999999999998	0.662145	1.0	2.38562	3.660103	5.0	50.359972	7.050547999999999	1.0	70.85170699999999	24.61219	4.0	51.391411	7.115734	5.0	0.22915300000000002	2.4456189999999998	2.0	38.197443	11.649899000000001	5.0	7.774336
99.0	2.0	84.267016	49.576555	58.567319999999995	27.752046000000004	0.12053499999999999	0.445829	0.62654	0.749961	3.1428689999999997	6.0	74.253326	2.876589	5.0	0.012819999999999998	0.722353	6.0	8.613832	3.256247	4.0	59.746339	14.064379	1.0	49.128296	5.476097	4.0	97.099489	23.554835	3.0	0.022172	11.365067	3.0	16.470422	23.823833999999998	5.0	5.267081
104.0	2.0	52.273907	38.710609000000005	28.93412	87.67636	0.24774000000000002	0.8363290000000001	0.351288	0.364917	6.54242	3.0	12.673447999999999	22.3036	6.0	0.044638	4.536511	3.0	9.310092	4.415042	1.0	29.635821999999997	12.964597999999999	6.0	54.393291000000005	4.836167	2.0	54.6927	13.3461	5.0	0.034037	13.213493	2.0	43.105307	10.140514999999999	1.0	49.793532
107.0	2.0	44.695329	75.332523	45.740149	37.094529	0.231537	0.827644	0.603831	0.5784600000000001	9.150464	4.0	61.42531999999999	10.530563	3.0	0.023047	0.200206	4.0	24.941474	5.79019	6.0	29.278664000000003	18.172504999999997	5.0	28.58512	13.539673	1.0	13.856209	17.407838	6.0	0.01004	5.796702	4.0	67.740615	12.561442	1.0	96.257233
108.0	2.0	65.50658299999999	45.877161	21.66681	39.967993	0.35251	0.49043000000000003	0.8676309999999999	0.149045	13.772737	3.0	17.675674	9.837108	3.0	0.011364	1.759209	4.0	13.946222	1.967143	1.0	75.163273	20.390264000000002	4.0	55.81719399999999	17.54534	6.0	86.941979	22.055866	5.0	0.033320999999999996	14.986536	4.0	7.216405	19.863732000000002	3.0	2.215592
110.0	2.0	34.176978999999996	15.99974	96.60475699999999	58.481326	0.559054	0.215416	0.509261	0.842659	3.3771449999999996	2.0	32.211701	19.744082000000002	2.0	0.08912	3.611672	6.0	71.101152	5.248663	1.0	67.846624	23.567270999999998	1.0	23.219120999999998	10.939328999999999	1.0	27.077911999999998	0.9197040000000001	5.0	0.021863	13.598435	6.0	79.774876	12.452250999999999	1.0	52.934368000000006
114.0	2.0	86.591016	99.393928	49.8395	85.23236999999999	0.224003	0.39251199999999997	0.268261	0.9980979999999999	1.5972549999999999	3.0	13.120752	11.997734	1.0	0.021185	5.629874	2.0	23.456757	3.6446440000000004	6.0	33.002835	7.5572	6.0	76.143912	16.463721	1.0	16.60693	1.709396	6.0	0.102379	15.665063	5.0	10.062476	8.760016	1.0	91.556141
116.0	2.0	21.03139	76.811578	81.753714	38.312696	0.621055	0.7059439999999999	0.815285	0.372784	2.355283	3.0	6.35745	7.3134570000000005	2.0	0.025168	6.191259	5.0	1.9408419999999997	0.820608	6.0	8.792896	9.34092	2.0	73.999064	9.567008	6.0	45.629825	15.525175	3.0	0.012331	13.507254999999999	3.0	32.084314	3.7787040000000003	3.0	62.031092
