uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
23.0	3.0	77.088426	43.077224	52.157959999999996	63.33031	0.641361	0.18321500000000002	0.44497600000000004	0.8517979999999999	23.810282	2.0	12.889334	17.922673	4.0	0.018376	0.817531	4.0	5.813302999999999	1.009357	2.0	84.52606800000001	10.204336999999999	2.0	77.409499	27.853526000000002	6.0	54.811147999999996	10.186492999999999	1.0	0.033467000000000004	2.250147	5.0	78.740297	2.7854669999999997	2.0	60.108565000000006
36.0	3.0	37.064637	34.196504	73.444041	52.775968000000006	0.486346	0.487674	0.972165	0.879434	9.955705	6.0	25.787976	19.132675	1.0	0.027783	1.202609	4.0	45.977032	0.857115	4.0	93.42114000000001	9.022224000000001	4.0	20.114770999999998	44.790236	1.0	98.73870699999999	16.920001	2.0	0.017956	1.553624	4.0	3.2165939999999997	1.3324280000000002	4.0	45.360797
77.0	3.0	12.875847	50.407471	33.323712	76.208634	0.375051	0.6691590000000001	0.14591400000000002	0.827725	7.786866000000001	5.0	99.64200600000001	5.100606	3.0	0.07424	1.546023	5.0	7.301292	2.182673	2.0	17.97824	17.162705	3.0	32.972676	14.676316	2.0	76.068538	14.93793	6.0	0.077672	1.760806	4.0	23.087097	5.618767	3.0	17.762398
85.0	3.0	50.575503999999995	47.288984	44.91487	16.852564	0.841985	0.742425	0.370817	0.9713579999999999	17.344421	4.0	75.284461	55.504104000000005	3.0	0.025866000000000004	2.48405	5.0	38.341122999999996	0.8509459999999999	6.0	43.156866	13.915856	3.0	78.803232	15.446887	1.0	95.240713	6.772942	1.0	0.022366999999999998	0.962542	1.0	63.904830000000004	1.860041	4.0	16.333273000000002
112.0	3.0	24.826735	37.282711	87.697975	10.489099000000001	0.982706	0.600857	0.57539	0.454671	19.793611	1.0	4.493295	19.960373	6.0	0.036483	2.247188	3.0	78.357334	3.4539720000000003	3.0	79.365266	11.141395	3.0	7.590737	12.870424	4.0	31.986169	17.064621	2.0	0.011528	2.919624	1.0	91.063808	0.915962	6.0	52.73625
135.0	3.0	84.667265	48.055529	94.857049	25.767054	0.78896	0.9519540000000001	0.614955	0.9078620000000001	3.3362410000000002	3.0	82.40643399999999	50.44484	5.0	0.050675	4.339277	5.0	89.373577	5.246123000000001	5.0	39.305587	9.334883999999999	4.0	13.082923	15.87049	5.0	4.989449	16.243123	1.0	0.030836000000000002	4.1162540000000005	3.0	44.578885	1.84507	1.0	56.732009
208.0	3.0	98.039234	10.43348	62.926706	67.194715	0.7339220000000001	0.1891	0.164806	0.802149	7.1249	4.0	91.592916	53.742954000000005	6.0	0.021394	5.1162220000000005	3.0	33.353035	2.4236560000000003	1.0	46.919101	11.113381	5.0	75.29965899999999	51.81343	3.0	12.853404	15.137970000000001	3.0	0.018004	2.33287	1.0	21.047329	0.801986	5.0	18.703889
214.0	3.0	56.645276	77.22713399999999	90.914771	51.677716	0.13860899999999998	0.231436	0.130108	0.403086	1.7773560000000002	2.0	89.38225200000001	14.984325	5.0	0.09173300000000001	0.27602	3.0	64.749539	3.944931	6.0	58.273187	8.812814	5.0	25.868247	72.32381600000001	3.0	37.721693	14.787272	3.0	0.016918	4.32843	5.0	9.330437	4.453088	2.0	10.402155
215.0	3.0	51.735490999999996	25.605124	98.232352	45.09753	0.23905500000000002	0.5112369999999999	0.149582	0.951536	2.4246689999999997	4.0	1.400639	69.348485	1.0	0.014852	1.6266690000000001	6.0	4.883993	2.6520349999999997	6.0	4.1744900000000005	8.706311999999999	4.0	83.94546899999999	55.878446999999994	5.0	22.960860999999998	21.534775	2.0	0.011094	5.589336	1.0	95.73657	3.832445	3.0	87.190353
236.0	3.0	31.41856	59.662599	96.176724	91.083588	0.27182399999999995	0.319256	0.49116400000000004	0.195272	10.152467	2.0	20.57401	52.694483999999996	1.0	0.016395	0.182408	6.0	83.387912	4.218641000000001	1.0	70.589242	9.967217999999999	4.0	75.903032	61.490607999999995	2.0	69.095938	21.146481	4.0	0.06126	0.272542	3.0	51.15822	1.8992060000000002	3.0	56.807641000000004
