uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
1.0	2.0	82.3371	87.57413299999999	87.79527	27.134791999999997	0.11401900000000001	0.768049	0.226095	0.685116	64.222596	6.0	10.311292	36.499875	1.0	0.017286000000000003	5.473264	2.0	84.258048	6.134395	5.0	11.883507	6.86665	4.0	98.34145	62.880239	3.0	0.019821000000000002	1.326738	3.0	40.657806	3.135996	4.0	98.059524
9.0	2.0	64.625404	79.280497	20.79845	51.001267	0.56117	0.8175439999999999	0.987189	0.5399109999999999	8.803161	3.0	45.383053000000004	73.617675	3.0	0.019403	3.3727620000000003	4.0	5.692903	0.994643	3.0	84.65499100000001	15.586232	3.0	46.200648	77.792573	1.0	0.011640000000000001	3.940669	5.0	18.922035	4.125878	6.0	61.223952000000004
65.0	2.0	52.220432	15.094714000000002	91.208362	11.57638	0.850039	0.106624	0.252639	0.22154699999999997	12.350800999999999	5.0	18.448317000000003	34.191784000000006	4.0	0.06253	2.391975	1.0	91.711198	1.493456	1.0	78.14816400000001	0.8149770000000001	1.0	59.480672	57.185539	5.0	0.016496	2.521829	3.0	92.452761	0.595332	2.0	63.74835
75.0	2.0	88.081435	51.67321	54.621426	44.318748	0.12310399999999999	0.388973	0.221219	0.21761999999999998	5.384339	4.0	13.460954000000001	22.130132999999997	2.0	0.01674	1.609425	3.0	52.209376	5.21013	1.0	99.93678100000001	36.797441	2.0	25.098737	17.138724	3.0	0.027533999999999996	1.466676	1.0	7.937880000000001	3.32081	4.0	74.43664
76.0	2.0	47.127098	85.51965600000001	29.097399	35.317686	0.572492	0.619661	0.584601	0.322392	2.3279330000000003	3.0	78.378578	29.356603000000003	3.0	0.02655	4.340663	2.0	47.805925	1.469626	6.0	4.911405	61.658201	1.0	33.152157	16.58865	2.0	0.01264	0.8645879999999999	2.0	59.984345	2.9012	3.0	96.91311400000001
101.0	2.0	17.932526	78.383698	81.016915	27.939596999999996	0.659288	0.26873	0.616328	0.586171	56.017391	6.0	86.097296	61.679901	2.0	0.012665000000000001	5.142811	2.0	18.289807999999997	5.173521	1.0	2.197315	28.12626	3.0	34.936184000000004	1.5950819999999999	4.0	0.258941	1.167439	6.0	88.445642	3.6736809999999998	6.0	87.86845799999999
109.0	2.0	64.98861	25.390065	82.025287	20.322733	0.519784	0.173203	0.709639	0.7418020000000001	20.349298	2.0	40.061599	34.000256	6.0	0.010332	5.698773	4.0	88.652615	0.366243	1.0	36.633837	1.337923	4.0	46.68673	18.379271	2.0	0.021853	0.64423	4.0	42.854597999999996	1.8614830000000002	6.0	56.107323
114.0	2.0	88.201652	43.745666	60.633888	63.115348	0.9027930000000001	0.90461	0.318302	0.24555700000000003	29.291851	3.0	21.892194	66.282232	1.0	0.043601	0.373013	1.0	32.131248	2.141746	1.0	12.067386	52.781062	6.0	91.525136	38.347239	2.0	0.010270999999999999	4.690073	6.0	85.919002	3.221693	2.0	49.314852
129.0	2.0	90.487418	84.563452	73.569249	2.745905	0.8837879999999999	0.661047	0.550585	0.203557	58.32906	4.0	48.903828999999995	68.122889	4.0	0.010389	1.942805	4.0	64.175849	0.367166	1.0	26.239293	10.914059	2.0	32.819493	45.673365999999994	1.0	0.024211	3.4025220000000003	3.0	41.198437	1.371148	3.0	44.542481
154.0	2.0	57.063051	73.69247800000001	91.80445999999999	29.921467	0.794519	0.267276	0.20469	0.64157	9.851783	1.0	4.953367	21.506273	3.0	0.041727999999999994	1.1571639999999999	5.0	10.349243	3.302453	2.0	95.35266700000001	55.486157999999996	6.0	32.969332	46.408815999999995	1.0	0.121688	3.139211	4.0	23.071087	0.795091	1.0	17.265915
179.0	2.0	90.179158	83.15835200000001	45.508681	53.294045999999994	0.556316	0.743678	0.748996	0.37664000000000003	2.279586	5.0	91.025125	60.534913	6.0	0.022343000000000002	3.2914269999999997	1.0	28.6604	0.965572	3.0	20.533901999999998	32.22225	4.0	90.05409	59.080613	2.0	0.055425999999999996	1.702545	2.0	23.663357	2.858423	3.0	24.204527
185.0	2.0	89.28775999999999	61.429653	24.925813	64.809401	0.18797	0.10778599999999999	0.104772	0.596518	53.11570699999999	6.0	26.088701999999998	69.079598	5.0	0.010803	1.244617	1.0	49.091087	4.435619	2.0	60.99434	69.142092	2.0	82.19802299999999	74.428689	1.0	0.117501	0.49127299999999996	4.0	55.46215600000001	1.069848	5.0	82.33654
189.0	2.0	10.132823	64.53859399999999	51.726599	92.146467	0.972377	0.264854	0.8264969999999999	0.508965	5.355288	3.0	93.186624	49.025376	2.0	0.015365	0.13610999999999998	4.0	47.63778	5.196257	1.0	12.804558	37.706478999999995	1.0	66.05198399999999	17.735985999999997	3.0	0.023122999999999998	2.0303009999999997	3.0	75.730839	1.532981	1.0	98.419248
193.0	2.0	95.120296	91.409014	46.025653999999996	89.806866	0.27378600000000003	0.136495	0.9287719999999999	0.219734	6.566763000000001	2.0	55.124565000000004	56.24060600000001	2.0	0.016538999999999998	4.139035	5.0	72.66786	3.199865	1.0	61.261492000000004	55.007608	6.0	47.179246	39.876138	2.0	0.018956	0.9571850000000001	2.0	88.121976	4.362754	6.0	75.094346
210.0	2.0	98.98218	61.727939	43.299757	78.79808100000001	0.11204800000000001	0.648613	0.905565	0.608371	42.513815	6.0	32.05053	73.015231	5.0	0.014001	4.661181	4.0	24.548218	0.256226	1.0	10.69855	40.343413	1.0	16.249079000000002	42.481303999999994	2.0	0.010107	2.101984	4.0	60.603311	1.791508	1.0	37.939599
220.0	2.0	76.404718	80.869501	48.928945	69.686499	0.790561	0.10740899999999999	0.9719190000000001	0.41584399999999994	68.747501	1.0	24.534874	33.789179	4.0	0.011253	4.387437	1.0	41.107683	2.626423	1.0	35.334685	22.444255	5.0	91.43230799999999	65.688636	2.0	0.038383999999999995	2.750486	3.0	38.682748	3.31145	6.0	36.485783000000005
249.0	2.0	75.747552	40.789784000000004	76.098861	93.49476800000001	0.196845	0.140638	0.330658	0.601737	9.008685	4.0	83.508461	63.165676	5.0	0.010952	5.92744	6.0	40.749390999999996	1.9632189999999998	1.0	27.074219	30.544029	3.0	55.210457999999996	35.728004999999996	5.0	0.014922999999999999	1.432134	4.0	43.916911	1.831433	5.0	2.821133
268.0	2.0	65.544149	91.500425	91.785426	38.175338	0.28529499999999997	0.273961	0.615123	0.14979800000000001	26.75096	3.0	41.633606	69.695574	3.0	0.020298	0.449957	1.0	20.989492000000002	0.49847299999999994	3.0	28.345129999999997	4.954243	6.0	22.521237	35.202807	1.0	0.013585	3.6113089999999994	5.0	27.968374	0.23395100000000002	3.0	35.195595000000004
288.0	2.0	99.559855	7.997068	55.737404000000005	50.484367999999996	0.135356	0.303151	0.274537	0.965501	54.691504	2.0	90.031023	31.370681	1.0	0.010315000000000001	0.263182	3.0	5.4865129999999995	2.280087	6.0	58.31890799999999	12.242486	4.0	17.883433	70.155677	5.0	0.019044	3.912719	5.0	11.215239	3.3884339999999997	6.0	34.273236
290.0	2.0	61.703455000000005	51.537048999999996	85.998925	99.453976	0.296466	0.723996	0.380129	0.7293470000000001	7.3988949999999996	2.0	3.4440410000000004	68.279381	4.0	0.013763999999999998	0.428617	6.0	26.124013	6.220044000000001	1.0	34.583628999999995	66.492536	4.0	70.759663	47.009683	4.0	0.09026	5.427499	5.0	29.801405	1.295773	3.0	34.184996999999996
341.0	2.0	41.511872	98.257142	84.453745	81.740773	0.36636199999999997	0.676353	0.143515	0.8360290000000001	64.278621	1.0	4.747155	64.932174	5.0	0.019190000000000002	0.997409	1.0	41.712586	4.7776819999999995	2.0	69.572973	73.366996	4.0	56.774512	63.51936	4.0	0.031362	1.633529	4.0	39.59959	0.597155	1.0	6.357599
359.0	2.0	28.937559000000004	45.335473	50.545942	81.41080699999999	0.370631	0.20871900000000002	0.540331	0.947742	76.92706	3.0	67.71570200000001	12.952866	2.0	0.019043	3.002466	2.0	2.855371	5.121149	1.0	2.592879	27.605796999999995	6.0	56.64569	75.28296800000001	3.0	0.019045	5.206144999999999	2.0	68.128691	2.314062	4.0	36.390999
405.0	2.0	90.702667	93.67795	86.776656	86.10073100000001	0.346219	0.34265999999999996	0.838124	0.762985	18.310979	2.0	28.862910999999997	19.373162	1.0	0.021157	3.8185599999999997	6.0	92.022435	2.889957	1.0	41.077851	23.596571	1.0	91.84084399999999	49.275074	2.0	0.024638	5.028585	1.0	18.935725	5.006387	1.0	69.06491
415.0	2.0	38.566794	68.471733	71.668651	25.954764	0.928107	0.994128	0.124992	0.588812	20.322109	1.0	2.050175	52.12744	2.0	0.024799	1.408899	2.0	13.583147	3.7353620000000003	2.0	89.63713800000001	48.788246	5.0	47.715194	47.856792	5.0	0.018539	4.018044000000001	4.0	68.326785	4.266993	3.0	32.253535
418.0	2.0	86.607481	45.521765	46.244104	45.191722	0.8526229999999999	0.556718	0.932256	0.873669	51.533245	1.0	16.150693	26.745009000000003	6.0	0.010245	3.4098040000000003	3.0	1.19004	1.682438	1.0	50.568975	66.864159	2.0	3.3635580000000003	72.31688199999999	3.0	0.018754	5.347265	4.0	14.118444	0.8632639999999999	4.0	83.13031
444.0	2.0	65.453005	86.405402	67.529002	28.720369	0.882517	0.8075869999999999	0.9690799999999999	0.618011	45.324867	1.0	85.69265	40.030182	1.0	0.012299	1.188836	1.0	63.109832	1.74394	4.0	27.700255	3.9694910000000005	5.0	54.104163	29.505063	2.0	0.357174	2.920946	4.0	29.791165000000003	4.331812	2.0	82.54948399999999
462.0	2.0	68.679154	45.247606	82.458519	43.741964	0.862807	0.584964	0.914018	0.6699149999999999	7.715813000000001	6.0	10.752564	49.492638	5.0	0.012762	0.6614260000000001	1.0	88.765451	1.223028	2.0	37.846368	44.826919000000004	2.0	45.48786	47.735913000000004	3.0	0.012045	2.644441	4.0	85.591566	2.163781	4.0	85.02611999999999
490.0	2.0	9.836468	73.711455	78.252105	34.578072	0.163109	0.491953	0.13412000000000002	0.8683690000000001	2.107152	4.0	88.036651	55.75142099999999	2.0	0.026063	2.001576	5.0	45.932996	4.297753	1.0	93.369331	29.249064	3.0	46.378845	66.52584300000001	5.0	0.026962	3.736045	3.0	73.715303	1.396415	1.0	68.628508
516.0	2.0	75.03218299999999	50.447774	29.541037	91.66618299999999	0.3849	0.366883	0.27961199999999997	0.25517	16.600911	1.0	18.476163	41.829263	3.0	0.023125	5.178372	4.0	57.434743000000005	0.123074	1.0	81.113302	48.110569	6.0	98.86452299999999	1.142433	4.0	0.060275999999999996	3.348211	6.0	12.880728999999999	1.0700020000000001	6.0	40.351856
526.0	2.0	69.987383	72.262293	40.490707	45.18249	0.511091	0.707043	0.190151	0.69811	12.328632	2.0	36.891005	72.195521	5.0	0.017481	3.8290050000000004	2.0	3.087775	0.959426	1.0	30.114352	36.4197	5.0	25.361654	3.12563	5.0	0.7082189999999999	2.535495	3.0	63.194671	1.5895190000000001	2.0	87.997069
581.0	2.0	97.068271	36.247191	71.88175799999999	20.356543	0.451321	0.54448	0.775835	0.5636369999999999	42.151621	5.0	6.659346	48.451240999999996	1.0	0.061019000000000004	3.268032	1.0	34.077412	0.5588810000000001	5.0	45.854521000000005	16.791693	3.0	97.53349399999999	25.585109	2.0	0.041991	3.430285	6.0	40.073491	2.974116	6.0	74.875825
602.0	2.0	91.501299	85.14573399999999	51.512161	28.192819	0.481221	0.475207	0.371394	0.78178	55.481306000000004	1.0	59.325633999999994	16.90094	2.0	0.0149	0.767291	2.0	14.499122	3.8109029999999997	2.0	63.698917	6.071567	3.0	13.566742000000001	2.214018	3.0	0.11168499999999999	1.691613	6.0	68.565079	1.53567	6.0	33.406953
612.0	2.0	65.003913	29.057414	14.032998000000001	84.167497	0.178508	0.334225	0.447618	0.690127	45.635276	3.0	63.782506000000005	18.017570000000003	3.0	0.076254	1.9580549999999999	2.0	59.205899	3.2095759999999998	1.0	4.264945	48.523615	1.0	60.100675	42.166641	2.0	0.08274400000000001	2.879348	2.0	83.106179	2.862516	1.0	74.624037
630.0	2.0	92.883033	67.360486	90.19172900000001	34.860431	0.9032530000000001	0.127529	0.322612	0.773417	57.682072	4.0	42.368021	10.678796	2.0	0.020191999999999998	4.483077	1.0	86.151014	1.266253	1.0	7.557932000000001	18.905102	2.0	41.109514000000004	17.478005	1.0	0.108182	3.077598	5.0	93.84399599999999	4.883187	6.0	33.326685999999995
