uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
17.0	2.0	28.04066	77.648511	70.27974300000001	40.665279	0.23338299999999998	0.126577	0.802405	0.9793139999999999	46.667764	3.0	30.882194000000002	34.603911	2.0	0.024321000000000002	1.9996650000000002	6.0	87.328401	5.579548	6.0	33.099498	33.052677	2.0	4.538368	2.62645	5.0	0.010058	5.852773	6.0	41.186938	2.044167	3.0	83.141285
24.0	2.0	35.756948	67.818814	1.66248	31.770391999999998	0.701609	0.675426	0.880124	0.62705	75.078822	3.0	77.46929200000001	51.020913	4.0	0.069536	3.3142480000000005	1.0	3.082594	4.026308	3.0	97.08615400000001	18.896382	3.0	51.632748	41.856028	3.0	0.028087	2.627595	2.0	91.313963	4.310606	5.0	99.721401
32.0	2.0	67.824651	60.08421800000001	13.358557000000001	1.48564	0.987399	0.418946	0.44370200000000004	0.9157790000000001	33.764956	6.0	17.739091000000002	19.200613	6.0	0.012259	2.374823	3.0	95.966959	4.8314330000000005	2.0	90.586792	60.200331999999996	3.0	24.832979	22.528834	4.0	0.010872	2.386331	5.0	44.54156	1.248109	2.0	22.788801
39.0	2.0	98.933201	53.318020999999995	54.733725	5.228553	0.7290399999999999	0.694867	0.392545	0.24143299999999998	13.930882999999998	4.0	18.1643	20.879265	1.0	0.014609	5.547465	2.0	39.897422999999996	0.892215	4.0	54.758451	41.745504	5.0	86.019747	75.85673299999999	2.0	0.024919	0.8606729999999999	2.0	22.944409	3.190881	6.0	57.060857999999996
40.0	2.0	79.340587	40.108239000000005	48.648564	21.702424	0.603483	0.128774	0.41046099999999996	0.669501	65.92898100000001	6.0	45.716628	66.010623	6.0	0.012506	5.2106639999999995	2.0	49.668848	4.218805000000001	4.0	21.687706	71.577561	5.0	64.369534	32.016262	4.0	0.012303	1.8710509999999998	6.0	24.555291	3.734896	1.0	66.523809
48.0	2.0	37.773095	90.883774	40.843654	4.980694000000001	0.8750379999999999	0.45488599999999996	0.7341340000000001	0.580014	36.591326	4.0	52.802688	72.448814	4.0	0.045954	0.948892	6.0	49.721131	4.299822	4.0	50.718659	38.722863000000004	1.0	87.102598	70.058876	5.0	0.014997	5.495775	1.0	40.315018	4.477599	6.0	29.383513
60.0	2.0	50.500636	62.064797	5.632691	20.303597	0.518497	0.892185	0.199178	0.472616	48.253909	2.0	77.501553	21.929566	5.0	0.015346	5.157671	6.0	88.68093	1.7680330000000002	1.0	46.206648	67.83303199999999	3.0	85.08904	69.00045899999999	6.0	0.016156999999999998	3.6830580000000004	2.0	84.52351800000001	3.5172849999999998	3.0	91.617972
61.0	2.0	10.38531	96.869668	4.150631	35.484414	0.49466800000000005	0.188844	0.813505	0.553609	55.21716899999999	6.0	36.460156	30.661659999999998	5.0	0.056670000000000005	5.128264	4.0	94.118798	2.940816	6.0	59.332978000000004	1.159067	2.0	38.911871999999995	11.049729	5.0	0.0131	1.651405	3.0	37.144351	1.430763	4.0	96.18601
67.0	2.0	21.401768	87.738108	72.505777	16.615586999999998	0.746258	0.9557110000000001	0.815573	0.9347040000000001	73.134659	6.0	98.54507199999999	45.049595000000004	2.0	0.298475	1.756231	3.0	68.076295	2.000979	6.0	43.531717	60.087652	3.0	99.75541899999999	60.084770999999996	6.0	0.01001	3.097897	4.0	77.256653	3.6680550000000003	3.0	83.257961
78.0	2.0	95.586185	45.619149	49.915149	2.926152	0.129807	0.36194299999999996	0.9202	0.46268400000000004	75.809837	4.0	69.88663199999999	29.730121999999998	6.0	0.042033999999999995	1.846182	3.0	46.686081	3.464781	4.0	52.619278	57.81754	1.0	88.604072	7.965209	2.0	0.018155	1.551173	3.0	96.241518	3.293244	3.0	75.76737
87.0	2.0	25.691379	10.120784	13.71395	3.091591	0.5767399999999999	0.35244899999999996	0.533859	0.818114	7.22613	5.0	21.721818	60.944649	3.0	0.024579	5.575029	2.0	10.212099	1.513715	2.0	39.358643	26.371664000000003	2.0	77.362257	10.277202	4.0	0.011087	0.159622	6.0	58.649301	5.393114	1.0	61.645824
