uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
49.0	2.0	90.46474	89.49675	17.712931	8.616158	0.754185	0.567565	0.276115	0.505289	57.177276	3.0	67.248458	12.619762	3.0	0.018308	1.924466	4.0	84.24158100000001	4.4880059999999995	2.0	65.268089	14.021474	5.0	59.990109	21.997357	2.0	0.017074000000000002	3.630062	4.0	82.951012	4.065195	2.0	48.707435	12.063191999999999	1.0	46.841390000000004
89.0	2.0	32.850943	30.628151000000003	66.45712900000001	25.430132	0.632523	0.8163279999999999	0.853184	0.7949149999999999	24.077305	3.0	27.492905	24.692256	2.0	0.018543	1.439666	5.0	38.658086	3.066838	5.0	27.138498	15.213966000000001	5.0	52.800693	62.234933	5.0	0.23441900000000002	4.824685	5.0	94.61407700000001	5.2360940000000005	4.0	13.437033	22.613570000000003	1.0	78.217275
95.0	2.0	77.325789	24.972382	97.04780799999999	4.814025	0.765904	0.463686	0.946526	0.542321	41.456654	2.0	78.472195	0.695575	1.0	0.013319	5.77606	3.0	40.24366	1.296163	4.0	44.945221999999994	7.823189	2.0	42.52655	10.028367	6.0	0.01162	5.563447	4.0	30.458916	1.5840319999999999	5.0	27.167609999999996	5.7964199999999995	3.0	7.934342
99.0	2.0	65.42062800000001	50.033753999999995	12.738439999999999	91.434336	0.585707	0.14240799999999998	0.6913729999999999	0.223687	3.8510410000000004	4.0	4.71873	20.646188000000002	5.0	0.022351	4.1939660000000005	4.0	94.148688	3.233894	6.0	99.040166	1.776829	5.0	40.846533	2.0436240000000003	4.0	0.016061000000000002	4.990787999999999	2.0	20.217152	4.868211	6.0	55.323903	8.715696000000001	6.0	20.141962
111.0	2.0	78.913219	78.78931	83.433113	18.568657	0.7145090000000001	0.34341	0.562865	0.725992	18.80291	1.0	48.089321000000005	2.450497	6.0	0.013915	5.6612089999999995	5.0	63.683308	0.917832	5.0	96.265585	12.119622	5.0	38.729213	12.214242	3.0	0.032986	5.839716	2.0	8.350871000000001	0.641545	5.0	3.385247	18.277877	6.0	39.100351
137.0	2.0	92.000074	60.636759999999995	17.685046	10.656362	0.25126	0.74398	0.531111	0.877382	12.899127	2.0	87.794046	17.030082999999998	4.0	0.050589999999999996	6.014327	3.0	54.818928	3.927543	4.0	66.54359699999999	12.738014	3.0	45.843923	72.043847	6.0	0.011192	2.458549	3.0	60.104587	2.55185	6.0	93.96141899999999	5.636737999999999	6.0	48.330132
139.0	2.0	20.187691	36.778292	4.274116	94.690759	0.289509	0.659934	0.920833	0.192964	7.380234	5.0	30.281095	1.337985	6.0	0.055001	0.223259	3.0	2.459175	1.82732	3.0	79.015462	6.614273	5.0	50.896328999999994	52.09466	1.0	0.087608	5.557675	5.0	92.665334	0.413616	5.0	12.939848	9.786168	1.0	96.322539
153.0	2.0	47.868008	49.205053	27.442375	13.13834	0.8708469999999999	0.757583	0.739001	0.459747	67.828462	5.0	49.22545	11.350479	3.0	0.019122	5.875825	3.0	96.102329	2.348798	6.0	11.549257	6.914075	2.0	58.73766	1.7141110000000002	2.0	0.011667	0.262886	2.0	13.338932000000002	4.263873	4.0	18.907276	11.627051	6.0	30.862983000000003
192.0	2.0	53.607055	22.534246	92.375152	9.893642999999999	0.103862	0.795709	0.602196	0.887424	72.496131	1.0	94.186724	9.23783	2.0	0.06385700000000001	5.594402	3.0	52.729851000000004	5.924923000000001	6.0	81.89719000000001	5.085646	5.0	81.70630600000001	7.13335	3.0	0.013191999999999999	1.0006	1.0	53.001265000000004	2.7041209999999998	2.0	50.014866999999995	20.196716000000002	3.0	70.54419200000001
205.0	2.0	44.223446	85.329138	1.991941	35.205011999999996	0.145992	0.339966	0.633216	0.382075	16.262466	6.0	26.447034999999996	24.926403	5.0	0.011646	1.9322560000000002	3.0	98.318087	0.901949	4.0	57.303047	24.020445000000002	4.0	57.936465000000005	2.462067	3.0	0.015875999999999998	3.517612	5.0	16.69395	4.060789	5.0	40.011859	0.7658699999999999	2.0	12.027184
