uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
1.0	2.0	21.684542999999998	36.394415	89.161546	26.285192	0.358738	0.562591	0.7874329999999999	0.744142	33.181359	4.0	21.463764	1.580489	1.0	0.232787	5.57209	2.0	60.609725	5.654329	2.0	12.849486	13.193213	5.0	47.856285	67.971754	5.0	0.013102	0.363867	4.0	11.287885000000001	1.659091	5.0	97.286277	24.543938	4.0	89.91951
4.0	2.0	83.32316800000001	69.374924	28.975584	41.519708	0.165056	0.44669899999999996	0.468825	0.718138	58.304625	6.0	88.072687	19.564754999999998	1.0	0.01055	0.463579	5.0	22.9504	2.108519	4.0	92.872454	6.507814	2.0	63.339778	63.965835	3.0	0.01662	1.234696	5.0	16.850529	5.064774	4.0	42.159233	7.800852000000001	1.0	72.428108
24.0	2.0	49.228986	16.276877	92.66065400000001	77.51061800000001	0.31212	0.286567	0.666157	0.603346	6.510832	3.0	80.332876	17.760154	3.0	0.011566	5.887490000000001	3.0	22.117746	5.329618	4.0	75.568477	25.275899	3.0	2.292294	21.251323	1.0	0.013431	3.68415	3.0	83.186452	0.789845	3.0	29.96445	1.152047	1.0	25.138254
28.0	2.0	57.42191	48.661048	71.223587	81.603941	0.610224	0.265201	0.343723	0.16137200000000002	65.827126	6.0	15.899392	0.468447	4.0	0.018835	6.174574	1.0	68.525596	2.519215	4.0	53.075996999999994	18.832022	4.0	33.587359	64.50668399999999	2.0	0.048991	3.011386	1.0	96.215379	0.548469	1.0	49.775039	15.577639000000001	2.0	90.93177299999999
42.0	2.0	50.877032	46.529965999999995	86.095106	96.473399	0.328597	0.901914	0.24708000000000002	0.933651	33.081920000000004	5.0	5.453772	15.604838	2.0	0.013138999999999998	2.3365709999999997	4.0	1.4669510000000001	6.153733	2.0	99.831655	14.097523	4.0	92.151327	67.230184	5.0	0.010591	3.321848	4.0	69.491587	4.37744	6.0	96.48154699999999	9.248292999999999	1.0	38.255161
55.0	2.0	38.686785	98.310125	21.870698	81.228837	0.681187	0.49733999999999995	0.867143	0.627596	12.154530000000001	1.0	8.393317	4.364833999999999	6.0	0.048218000000000004	3.858293	3.0	37.77364	3.068654	4.0	15.163942	5.67505	5.0	5.034965000000001	71.010047	2.0	0.013825	0.48935	3.0	44.873377000000005	4.260833	4.0	78.141283	5.94148	3.0	15.768764000000001
58.0	2.0	86.28349	98.678569	93.377967	26.057422	0.378629	0.322845	0.9380649999999999	0.7695069999999999	1.218264	4.0	42.369987	10.325436999999999	5.0	0.024891	4.825863	5.0	95.15905	3.5391410000000003	4.0	78.28095	21.5462	3.0	39.683338	42.006084	1.0	0.010008	3.549814	4.0	3.14181	3.706296	6.0	66.787982	12.661788	6.0	47.590702
63.0	2.0	4.814124	55.993736	66.93101800000001	64.022958	0.47117700000000007	0.713002	0.220879	0.12003499999999999	8.625962	4.0	17.149922	24.350960999999998	1.0	0.025472	0.373805	3.0	76.483875	5.523697	3.0	98.04730500000001	14.844167	2.0	63.536916000000005	18.547431	2.0	0.015615	0.300286	6.0	22.664095	4.962616000000001	1.0	49.622685	16.575873	1.0	55.167375
68.0	2.0	19.747815	75.538521	58.082765	31.421412	0.730567	0.286274	0.824083	0.946318	40.814613	1.0	95.127246	13.988473999999998	5.0	0.051182	0.064403	2.0	10.379871000000001	6.1467279999999995	2.0	31.519240999999997	12.213886	5.0	69.254026	19.950483	4.0	0.010762	5.521749	5.0	5.831653	4.170013	4.0	34.560955	1.038626	6.0	95.258228
71.0	2.0	51.7198	34.152746	46.221193	38.23852	0.17891300000000002	0.249421	0.549523	0.151056	74.716389	2.0	56.10097	24.848101	5.0	0.015215000000000001	4.949754	4.0	88.493427	4.608798	6.0	42.074128	8.266053999999999	1.0	22.069557	50.492709999999995	4.0	0.014031	3.061868	3.0	69.482318	4.6654	6.0	14.61982	2.155755	2.0	54.629045999999995
82.0	2.0	44.153394	84.565159	38.848617	17.385845	0.155034	0.9397690000000001	0.585849	0.62132	58.679414	5.0	88.731494	24.77952	4.0	0.013466999999999998	4.599943	1.0	6.705336999999999	1.089445	5.0	43.233069	12.699978	2.0	3.322051	24.490122	5.0	0.04813	1.787091	4.0	13.246735999999999	3.498849	5.0	51.95194	17.772927	6.0	43.674331
85.0	2.0	4.480708	82.190337	55.62616800000001	66.332061	0.369632	0.7507729999999999	0.233571	0.9732200000000001	55.020776	6.0	72.34263299999999	11.994850999999999	4.0	0.011890000000000001	1.697516	2.0	10.361081	4.197775	3.0	77.63532	20.666766	2.0	21.10151	52.733315000000005	2.0	0.010434	0.363568	4.0	69.426594	4.436224	6.0	66.343131	3.6465629999999996	1.0	46.907546999999994
95.0	2.0	85.243647	69.80476	51.421438	22.904918	0.789575	0.547938	0.822153	0.360759	47.684779999999996	3.0	5.598329	22.085570999999998	5.0	0.011251	2.618527	2.0	82.941199	5.5639449999999995	2.0	53.979349	9.619332	4.0	36.421874	12.917446	6.0	0.051559	4.547105	1.0	9.34245	0.659171	6.0	62.405080000000005	1.24092	2.0	3.3022699999999996
