uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
136.0	2.0	77.205056	63.438970999999995	78.351084	36.62764	0.629642	0.86897	0.71063	0.380535	14.084349	5.0	32.689799	22.924031	3.0	0.086613	4.4051290000000005	4.0	84.540177	3.4266410000000005	6.0	5.7645550000000005	72.26688	2.0	0.011322	3.234819	3.0	87.46169	10.048553	2.0	84.02143199999999
151.0	2.0	13.480935999999998	71.125175	96.232388	29.6772	0.901545	0.661547	0.133358	0.41239899999999996	47.583285	6.0	69.989979	7.625862	3.0	0.012758	3.245759	5.0	70.249359	23.607189	5.0	2.473775	55.483276000000004	5.0	0.011558	7.860977	3.0	24.475948000000002	14.846906	2.0	84.14023900000001
491.0	2.0	84.602326	34.796326	69.30623	54.876293000000004	0.491356	0.9892049999999999	0.147949	0.997133	76.75736500000001	1.0	4.645132	15.234998999999998	5.0	0.046676	12.755456	1.0	93.305838	0.336916	5.0	30.206167999999998	11.962835	4.0	0.081194	3.637515	2.0	1.25026	23.088142	5.0	13.194265
532.0	2.0	7.2165	80.08681	37.59466	32.971496	0.8907780000000001	0.496	0.209873	0.33873400000000004	76.936017	4.0	95.635111	9.868121	6.0	0.025135	4.561674	5.0	22.101454999999998	0.242677	5.0	70.509258	69.75933	4.0	0.025681	10.387553	2.0	83.223874	20.26441	2.0	69.464911
599.0	2.0	39.77194	67.939231	63.182216000000004	36.090003	0.21162899999999998	0.259954	0.307924	0.43122299999999997	20.973514	5.0	28.393663	4.158539	2.0	0.264975	8.580402000000001	5.0	47.365055	22.662232999999997	1.0	92.688089	51.541196	1.0	0.019191999999999997	3.285793	1.0	5.058039	10.826478999999999	2.0	25.496684
644.0	2.0	62.783021	29.402229	89.53379	29.623368	0.540378	0.540488	0.9009389999999999	0.538445	34.503254	3.0	40.197607	23.352992	1.0	0.01707	11.779371000000001	5.0	67.489363	19.250655	2.0	66.756483	51.699746999999995	6.0	0.013536000000000001	4.266348000000001	4.0	1.772143	6.444032	5.0	6.513714
660.0	2.0	78.635091	84.132449	53.281478	6.216657	0.5530390000000001	0.709561	0.5633859999999999	0.5137470000000001	64.848084	4.0	24.67465	20.065752	1.0	0.011065	9.157117999999999	4.0	39.356259	0.354232	4.0	29.001071999999997	72.254304	3.0	0.089715	0.493993	3.0	28.098186	5.37849	1.0	64.694291
684.0	2.0	88.276101	44.317259	6.387728	95.34812	0.514364	0.58704	0.160412	0.381157	17.549423	4.0	49.592626	17.80273	4.0	0.027018	1.231001	6.0	77.45739300000001	1.363315	1.0	38.449290000000005	70.476489	3.0	0.011517	7.546858	1.0	88.96729	12.75404	2.0	32.390987
706.0	2.0	16.062778	35.153946000000005	85.277332	14.88815	0.9947879999999999	0.172459	0.58097	0.633886	42.851465999999995	6.0	99.608584	14.056761999999999	5.0	0.027923000000000003	15.779546	6.0	16.76013	2.2780709999999997	1.0	12.000872	69.420987	2.0	0.019375	1.408841	2.0	36.733594000000004	23.215945	6.0	40.304786
878.0	2.0	28.225576	89.734678	46.731046	56.105546	0.432112	0.36718	0.24335700000000002	0.200726	24.404895	5.0	13.945413	2.842451	1.0	0.433583	7.072334	6.0	91.854188	5.560149	5.0	12.96395	45.041113	2.0	0.050944	2.577959	1.0	2.137114	5.536567	3.0	22.21614
