uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
3.0	2.0	63.486647999999995	5.584421	57.096427	13.30711	0.968981	0.347048	0.34495	0.189131	22.51586	5.0	15.452274	48.62467	5.0	0.041718	17.312585000000002	3.0	22.547432	47.12785	1.0	83.498636	52.197988	3.0	0.021158	3.160862	5.0	94.100975	3.454282	4.0	68.866373
33.0	2.0	30.748091	10.274307	9.526586	23.946622	0.756494	0.568883	0.881663	0.28841999999999995	45.228428	4.0	16.993501000000002	74.944538	2.0	0.017092	0.874975	2.0	86.112434	25.20897	4.0	9.910923	68.216155	4.0	0.014098	2.536335	6.0	11.665382000000001	2.02873	5.0	21.066311
50.0	2.0	7.622992999999999	7.810803	10.372183999999999	34.797601	0.946549	0.919106	0.9764290000000001	0.822466	51.084986	6.0	58.655438000000004	27.507228	1.0	0.30551500000000004	18.593687	1.0	85.96314	21.422878	6.0	88.73739499999999	21.891087	1.0	0.011173	2.531719	2.0	70.78527	5.583552	3.0	95.985047
56.0	2.0	11.339988	38.066545	10.079542	19.41757	0.814778	0.514936	0.643875	0.184876	73.173923	5.0	73.12465999999999	8.06857	2.0	0.03945	11.532088	5.0	29.916607	57.46213100000001	1.0	34.802913000000004	58.153176	3.0	0.010295	1.0715290000000002	5.0	1.032614	4.212527	5.0	48.702647999999996
58.0	2.0	41.721357	11.475814	54.304689	3.221566	0.3328	0.55156	0.5065350000000001	0.610042	42.981633	5.0	39.271321	47.829312	2.0	0.013129	4.192246	1.0	67.281244	8.814413	4.0	22.535613	50.511465	4.0	0.012713	0.47050600000000004	6.0	72.353024	3.7575730000000003	2.0	26.182727
66.0	2.0	89.760579	40.594198999999996	2.870304	39.046884000000006	0.897541	0.770702	0.196849	0.630608	47.523297	6.0	38.105624	66.585806	2.0	0.036261	14.112110999999999	1.0	9.029788	21.678325	5.0	59.532022999999995	43.134803999999995	3.0	0.032524000000000004	3.254461	2.0	28.024478000000002	5.19865	6.0	82.52208900000001
87.0	2.0	40.646042	6.000853	40.864912	60.888383999999995	0.253062	0.641514	0.334671	0.339273	12.497523	4.0	15.837864999999999	14.092692000000001	6.0	0.027112	0.826614	2.0	21.915452	64.905877	5.0	50.92969	4.074234	2.0	0.027703	3.9857989999999996	3.0	6.632441	1.1362219999999998	2.0	34.452421
88.0	2.0	59.354286	8.931371	41.548545000000004	22.694968	0.22601100000000002	0.982735	0.209242	0.522471	61.734621999999995	1.0	6.4007	17.466117	1.0	0.044948	17.285503	5.0	96.016968	26.293232	5.0	58.176246	2.1699349999999997	6.0	0.16143	0.88521	6.0	10.283598	4.398466	3.0	31.775721
91.0	2.0	29.756351000000002	8.351678999999999	15.213370999999999	55.124899	0.40316399999999997	0.42402399999999996	0.6497310000000001	0.9415819999999999	53.073060999999996	6.0	70.627936	43.422321000000004	5.0	0.021696	16.719453	2.0	56.045813	57.995992	6.0	23.797234	22.807079	2.0	0.018668999999999998	5.463947	6.0	31.196875	2.384566	6.0	25.5986
104.0	2.0	63.19181999999999	11.036427	91.660739	55.881326	0.568087	0.562095	0.396876	0.342275	29.647586999999998	5.0	76.55623	41.624443	2.0	0.01822	9.333355000000001	3.0	65.13063000000001	14.550111	4.0	49.054301	19.471651	1.0	0.037395	3.883451	4.0	57.85844399999999	0.689398	6.0	36.537506
