uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
503.0	2.0	85.031261	39.875917	86.27628100000001	47.027762	0.8771389999999999	0.704221	0.544447	0.5126569999999999	62.850181000000006	4.0	18.511891000000002	4.596978	2.0	0.014328	4.728633	1.0	8.4548	13.405419	3.0	2.329116	57.807058	4.0	0.026443	5.140314	2.0	80.865515	2.1735860000000002	1.0	20.668960000000002	19.924214000000003	5.0	49.502914000000004
516.0	2.0	73.269389	17.60511	44.8828	82.011147	0.217011	0.41785	0.36495700000000003	0.492943	25.704767999999998	4.0	59.471264	3.8342519999999998	1.0	0.020367	2.216399	5.0	41.549158	1.9123830000000002	5.0	76.637939	54.972190000000005	6.0	0.01591	2.928112	1.0	28.995040000000003	1.9415669999999998	1.0	73.794014	10.204626	5.0	12.606924000000001
639.0	2.0	66.34280799999999	13.744359	85.055813	7.012401	0.86293	0.288675	0.42185	0.529257	49.677256	3.0	98.667999	18.242209	6.0	0.33168800000000004	12.107365	3.0	42.651262	5.3315220000000005	5.0	19.711829	65.461484	2.0	0.019308000000000002	3.9620269999999995	1.0	72.583302	2.588816	4.0	20.854748	9.545245	3.0	26.888173
924.0	2.0	80.726766	9.643432	55.506753	9.990418	0.599543	0.25652600000000003	0.852248	0.19253	56.918729000000006	1.0	55.772578	9.348449	4.0	0.042849	14.922867000000002	2.0	81.117801	6.415336	3.0	1.29861	62.063674	2.0	0.016893000000000002	1.918032	3.0	45.837519	5.23758	1.0	25.418847	11.41314	2.0	78.237205
957.0	2.0	44.256467	93.937528	86.039679	89.976737	0.57286	0.561591	0.44978199999999996	0.20598699999999998	54.973363	2.0	42.591908000000004	12.521041	3.0	0.238434	11.162783000000001	5.0	97.61541899999999	6.458357	5.0	98.660515	75.659991	4.0	0.047458999999999994	1.2809780000000002	6.0	8.075963	4.259868	3.0	59.566945999999994	0.33629699999999996	1.0	82.484036
1038.0	2.0	27.590466999999997	90.49325999999999	80.195973	28.617703000000002	0.396912	0.761339	0.395229	0.198479	41.857388	5.0	33.632621	8.211572	4.0	0.168032	0.706888	4.0	93.115815	11.571025	1.0	14.401994	27.203274	4.0	0.141306	1.556337	6.0	2.247161	0.331257	4.0	64.136301	10.351502	2.0	44.213716
1069.0	2.0	65.701902	48.73539	78.33506700000001	83.829466	0.65263	0.30979	0.287889	0.372286	24.033873999999997	6.0	36.911982	8.062002	4.0	0.0804	5.614466	3.0	81.86725899999999	5.932217	1.0	75.395558	43.451273	1.0	0.011903	1.74299	1.0	31.983134999999997	0.200346	3.0	53.213184	8.744908	3.0	94.29164899999999
1125.0	2.0	74.85954699999999	93.931497	68.200243	59.14936899999999	0.639458	0.682217	0.465929	0.6271	46.660538	5.0	45.121897	6.465797	1.0	0.028584	6.969053999999999	3.0	52.845797999999995	12.482871000000001	1.0	37.060522999999996	68.097487	1.0	0.012379000000000001	2.2022720000000002	1.0	64.954988	5.383364	3.0	22.504455	21.166828	6.0	3.934775
1183.0	2.0	30.546959	84.497085	33.929396999999994	46.415646	0.541524	0.35152100000000003	0.19903800000000002	0.969332	20.730083999999998	2.0	19.285934	18.010839999999998	1.0	0.016728	5.825698	6.0	62.259533999999995	4.47711	1.0	61.761224	77.32633100000001	2.0	0.021156	0.643496	2.0	50.820683	0.854107	3.0	64.249587	12.032863	6.0	1.4347969999999999
1233.0	2.0	92.325333	18.78568	47.855781	3.189347	0.762295	0.507778	0.193911	0.228282	31.582047999999997	1.0	47.82082	7.612121000000001	4.0	0.023543	8.255586	2.0	78.013222	1.588018	2.0	2.916499	73.190275	1.0	0.011387000000000001	1.8507220000000002	1.0	70.114048	2.5458279999999998	5.0	55.56112099999999	5.705125	4.0	54.574175
