uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
4.0	2.0	39.42177	61.526088	64.002558	88.632676	0.47803999999999996	0.101901	0.756999	0.306569	49.158039	1.0	2.483348	7.240667	6.0	0.013284	13.686828	5.0	68.843563	0.793291	6.0	3.676827	45.017971	3.0	0.011946	1.7161119999999999	5.0	90.04432800000001	0.879718	4.0	24.68863	22.728048	4.0	39.260289
10.0	2.0	26.841231	62.779755	19.521872000000002	73.307129	0.129098	0.498406	0.49541899999999994	0.185754	66.945541	1.0	31.836853	8.086547999999999	2.0	0.011398	8.782926	2.0	53.818043	24.983611	3.0	74.481404	20.823936	5.0	0.014375	3.8999650000000003	6.0	10.620034	3.667879	3.0	53.879	9.111853	2.0	5.413418
13.0	2.0	26.525703999999998	93.962928	80.437256	75.10495300000001	0.600947	0.197921	0.330121	0.402238	62.58635400000001	2.0	6.438896	22.862046	5.0	0.013287	16.227339	6.0	19.809160000000002	13.877920999999999	3.0	85.459047	58.487726	4.0	0.073385	3.79751	2.0	16.976709	3.796336	1.0	98.52536500000001	13.129833999999999	6.0	11.482322
15.0	2.0	59.801772	18.114734	64.937174	84.991228	0.874044	0.383884	0.15237699999999998	0.9100659999999999	39.977492	3.0	21.904426	23.411819	4.0	0.018604	0.5630430000000001	3.0	9.79627	15.485828	6.0	29.18589	31.640714000000003	3.0	0.015559	3.943	6.0	33.9965	5.696919	4.0	92.09179	1.8230369999999998	5.0	49.653806
16.0	2.0	78.705081	89.27484399999999	26.907839000000003	37.250040999999996	0.551242	0.300207	0.37673	0.964757	49.885465	2.0	25.284947	23.186775	4.0	0.018962	10.967789	5.0	88.119093	24.760197	4.0	94.558425	41.434763000000004	4.0	0.012169	2.1923779999999997	2.0	13.277157	1.362395	5.0	50.777028	5.22686	6.0	2.462327
18.0	2.0	77.076441	79.252866	87.394492	81.390282	0.811808	0.143921	0.57016	0.151051	50.827225	6.0	53.266138	18.007082999999998	2.0	0.010587000000000001	13.764314	3.0	58.377485	22.832113	5.0	2.90347	23.14467	4.0	0.022212	0.892849	3.0	16.40121	4.766952	5.0	89.836752	21.658394	4.0	82.834188
20.0	2.0	15.509874	51.398811	29.649767999999998	97.067498	0.223685	0.738362	0.6934739999999999	0.358309	49.846132	1.0	14.74368	10.185874	5.0	0.010909	9.510816	4.0	74.552638	13.538142	3.0	49.94894	7.675689	2.0	0.019561000000000002	3.856644	6.0	23.859369	3.8156260000000004	3.0	71.620859	22.217354	3.0	55.540751
24.0	2.0	34.523403	62.68840600000001	19.573781	21.514837	0.611599	0.427821	0.336327	0.5893579999999999	33.063731	3.0	7.8113220000000005	8.497914	3.0	0.018731	6.801525999999999	2.0	57.132787	23.232845	1.0	35.639878	20.928398	5.0	0.021003	2.608584	5.0	95.29417600000001	5.715689	5.0	64.50886899999999	15.815994	2.0	75.46526300000001
30.0	2.0	11.240011	38.999016999999995	10.377046	69.640113	0.340235	0.866165	0.36506	0.7094020000000001	27.495639	3.0	78.00494599999999	3.136198	1.0	0.018908	0.802856	3.0	43.770046	5.502416	2.0	70.137586	19.584291	5.0	0.012728	4.563893	3.0	48.765335	4.411332	6.0	69.35436999999999	24.404848	2.0	55.453021
31.0	2.0	92.895514	72.87410600000001	43.847878	34.907128	0.135802	0.7434069999999999	0.311895	0.152969	31.828511	6.0	14.165788000000001	19.709722	4.0	0.018368000000000002	18.162554	4.0	16.972948000000002	22.253234	6.0	19.181418	14.922585999999999	2.0	0.019231	2.374981	4.0	3.240091	5.278389	3.0	91.125045	23.266664000000002	1.0	67.447625
38.0	2.0	33.376314	37.471555	1.000589	64.24471199999999	0.806945	0.232877	0.40374299999999996	0.47726899999999994	12.514397	1.0	87.686736	19.499966	2.0	0.012197	15.859492999999999	2.0	33.461075	11.765089	2.0	13.595032000000002	26.543302	1.0	0.033315	0.39658899999999997	2.0	38.392654	2.324507	1.0	59.444501	20.208299	4.0	72.411486
40.0	2.0	35.710843	52.81776800000001	56.344436	95.86224	0.31204899999999997	0.14918900000000002	0.855975	0.75022	42.299465000000005	3.0	75.369078	6.537234	6.0	0.022563	13.512170000000001	3.0	31.455684	10.480513	4.0	10.282699000000001	20.135306	3.0	0.012856999999999999	1.684721	5.0	50.318515999999995	3.280664	6.0	77.134335	7.482539999999999	2.0	8.482777
41.0	2.0	71.237597	43.859114	95.654898	37.773928000000005	0.555678	0.603821	0.665452	0.254798	13.426172	2.0	81.815178	18.897741	5.0	0.013080000000000001	2.066801	4.0	62.563447	20.234901	1.0	15.673356	41.779053999999995	3.0	0.033201	2.7753080000000003	3.0	78.33675500000001	0.458671	3.0	31.279567999999998	14.989011999999999	3.0	85.40615799999999
48.0	2.0	74.596949	49.481327	16.558485	34.562059999999995	0.648238	0.5924729999999999	0.6288779999999999	0.47606099999999996	69.173687	2.0	64.256867	25.163982	2.0	0.012240000000000001	2.292018	4.0	10.865094000000001	24.549012	6.0	91.116386	34.265519	3.0	0.022919	0.408486	1.0	41.398961	5.045883	3.0	23.924123	22.309731	6.0	25.823307
50.0	2.0	17.798884	96.88736	85.634938	3.5406169999999997	0.6426149999999999	0.453348	0.39315900000000004	0.11331199999999998	13.913425	4.0	55.875177	0.465257	2.0	0.026026	4.051658	4.0	31.045463	14.040841	1.0	42.005696	42.381265	5.0	0.02334	3.870251	2.0	51.911001	4.597524	2.0	32.732457000000004	6.604861	2.0	4.025919999999999
53.0	2.0	6.845166000000001	82.59855999999999	21.503834	61.346571999999995	0.246959	0.111135	0.14872	0.696465	65.694137	2.0	18.276367	21.185562	1.0	0.010783	16.621335000000002	2.0	58.186455	16.585929999999998	3.0	62.965516	27.79138	5.0	0.012478	2.179135	6.0	86.139837	2.750275	1.0	21.056205	7.526036	4.0	25.257167000000003
