uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
115.0	2.0	79.290104	93.660964	70.86811800000001	85.660555	0.382004	0.666018	0.113694	0.736024	15.011373999999998	6.0	74.124126	7.673733	4.0	31.740399	15.827313	4.0	19.247518	13.123845999999999	1.0	95.343429	24.055763	4.0	48.400881	22.219307	1.0	0.018215000000000002	5.658812	3.0	11.906398	1.360895	1.0	36.633178	1.611728	2.0	24.733473
123.0	2.0	70.902898	25.9667	96.852825	44.746402	0.182729	0.373752	0.275546	0.327241	22.516712	5.0	40.448199	8.730518	2.0	30.942931	8.176003	5.0	5.172094	5.522409	3.0	86.255303	3.399061	1.0	13.980766000000001	7.9316130000000005	1.0	0.013491999999999999	1.400559	1.0	54.489366000000004	0.408462	5.0	39.347363	22.568453	2.0	77.80608000000001
134.0	2.0	99.624222	86.77815	93.038952	84.78108	0.390764	0.766534	0.23774499999999998	0.739309	23.091032000000002	1.0	69.174801	10.474874	1.0	72.329148	8.776009	1.0	37.432223	11.044261	1.0	91.327099	7.981139999999999	5.0	61.668055	15.256607	2.0	0.011798999999999999	5.128183	2.0	2.448077	4.322524	4.0	3.7984449999999996	23.502516	1.0	27.967733000000003
137.0	2.0	13.353223000000002	23.742114	82.91126899999999	99.305689	0.5590350000000001	0.739658	0.778828	0.52746	1.138851	2.0	84.97207	22.768416000000002	1.0	44.70003	4.532761	1.0	32.938765000000004	2.767411	3.0	57.955084	12.609782000000001	5.0	54.284498	19.29875	3.0	0.012218999999999999	0.42858599999999997	2.0	18.035067	2.210458	2.0	55.503077000000005	24.567889	5.0	7.468887
159.0	2.0	27.61379	70.29840899999999	72.98767	30.594616	0.716354	0.147869	0.385658	0.42545600000000006	23.307212	1.0	85.72453	11.693857000000001	3.0	82.331755	16.908407	4.0	79.335695	8.795496	2.0	97.236367	14.224316	3.0	1.297495	13.998491	1.0	0.040407	2.2101610000000003	2.0	59.21819	5.153767	1.0	27.045485	12.004686	1.0	98.922289
188.0	2.0	50.133957	9.382823	27.092906	3.50235	0.77498	0.9734860000000001	0.913798	0.9662729999999999	6.484939	6.0	47.521068	6.753692999999999	5.0	88.95021	15.198742000000001	2.0	78.436631	0.782928	6.0	91.47308699999999	10.807263	1.0	3.004149	4.337568	1.0	0.06243099999999999	1.0127329999999999	1.0	91.21744699999999	1.1411149999999999	6.0	56.530666000000004	8.361497	3.0	40.842801
201.0	2.0	34.33145	96.700014	65.917225	48.526603	0.79688	0.9065209999999999	0.552345	0.29993600000000004	8.995221	4.0	2.392882	20.73936	4.0	4.884989	4.466317	4.0	67.561229	17.816516	4.0	57.651576	2.328034	4.0	82.969176	13.465975	1.0	0.018928	5.152799	1.0	91.42481	3.398024	1.0	18.823392000000002	0.461979	3.0	99.193698
204.0	2.0	45.747029	92.544872	16.549738	75.035178	0.1928	0.389703	0.30995900000000004	0.9458790000000001	18.341178	1.0	17.856596	22.020222	3.0	22.443027	10.149412	4.0	50.529666	13.768978	4.0	89.683431	18.969418	4.0	3.658075	0.886175	1.0	0.057984	0.15018399999999998	3.0	21.69128	1.100019	2.0	77.319558	25.380157999999998	1.0	31.785234999999997
216.0	2.0	38.327874	89.840634	87.24991800000001	69.430977	0.35180900000000004	0.726399	0.411499	0.997397	12.371174	4.0	99.860577	1.73358	1.0	53.171191	12.264783999999999	2.0	22.238587	17.071092999999998	1.0	9.894877000000001	19.268625	2.0	26.865408000000002	5.470447	5.0	0.785049	1.788959	3.0	1.277483	1.253723	2.0	51.422275	3.753684	5.0	63.238905
300.0	2.0	14.447253	24.629405	87.798292	23.641785000000002	0.45361899999999994	0.222565	0.938232	0.10988099999999999	10.471083	3.0	43.640136	17.314539	5.0	46.812355	4.049059	2.0	28.222762	17.515362	6.0	50.428728	2.407286	6.0	54.836482999999994	2.61767	1.0	0.038471	1.648953	5.0	33.86865	0.182148	2.0	97.963376	14.831106	2.0	9.068495
