uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1
2.0	2.0	16.790773	32.807198	9.623603999999998	84.40433399999999	0.311517	0.48761099999999996	0.633205	0.352746	15.682934	1.0	91.412578	46.00104	6.0	0.010242	0.724486	3.0	70.25731	36.048412	4.0	16.334893	19.914723000000002	4.0	0.011084	1.840991	5.0	70.78474
8.0	2.0	2.530552	69.15207	59.102553	97.980963	0.370688	0.525909	0.407323	0.5688270000000001	22.061878	1.0	9.398409	70.598905	6.0	0.011113	5.153123	3.0	20.368385	14.120783	6.0	78.264003	30.547667999999998	2.0	0.01176	17.351376000000002	6.0	22.573737
10.0	2.0	57.862549	29.860102	21.522219	52.872176	0.773287	0.507269	0.6864140000000001	0.618027	58.883839	1.0	64.213904	41.950039000000004	2.0	0.013283000000000001	13.408169000000001	3.0	58.356315	29.852774	4.0	56.185892	76.923467	5.0	0.024743	15.704539000000002	6.0	77.871779
11.0	2.0	35.108123	58.81658	18.773273	31.811028000000004	0.124958	0.45601400000000003	0.110696	0.179753	65.755679	5.0	86.69259	35.545962	1.0	0.016327	6.7793399999999995	4.0	18.216778	38.655414	5.0	1.207871	22.480213	5.0	0.039411	12.184898	6.0	28.013626000000002
12.0	2.0	29.589488	58.77565500000001	89.190736	77.92202900000001	0.761965	0.640986	0.9727040000000001	0.972074	31.689046	4.0	78.841918	67.972637	5.0	0.015108000000000002	10.394495	2.0	55.049327000000005	5.540571	2.0	31.756521000000003	18.472766	4.0	0.028087	2.797802	3.0	5.567157
25.0	2.0	65.773064	94.705462	25.547413	47.61436	0.54246	0.145226	0.251498	0.372329	35.405621000000004	3.0	24.171146	14.740112	6.0	0.018547	18.202351999999998	2.0	40.584081	32.354265999999996	4.0	70.614418	67.247152	2.0	0.016559	11.936779	6.0	66.799051
43.0	2.0	46.978442	61.184326	5.595878	80.890754	0.412501	0.7540979999999999	0.748119	0.214523	60.552499	3.0	49.896291999999995	14.917192000000002	1.0	0.014828000000000001	4.232568	4.0	88.143189	4.142306	4.0	8.475418	13.269372	1.0	0.019397	4.176393	4.0	31.689054
44.0	2.0	79.526382	24.215248000000003	99.496669	29.61652	0.7923640000000001	0.675553	0.49528	0.275937	12.474125	1.0	70.475172	47.124555	6.0	0.013188	5.99902	1.0	42.304898	14.390407999999999	3.0	96.834159	35.531884999999996	3.0	0.011283	16.976532000000002	4.0	65.139894
46.0	2.0	27.727444000000002	71.410543	63.980656	21.175772	0.7744770000000001	0.7959350000000001	0.5016470000000001	0.508617	66.961201	2.0	82.120416	41.670956	1.0	0.011618	2.7289380000000003	2.0	33.386649	59.471387	5.0	11.79407	5.460215	5.0	0.018963	5.303921	3.0	27.396949
51.0	2.0	25.614917000000002	95.281972	92.157926	15.770745000000002	0.228392	0.712759	0.513671	0.661022	65.31630899999999	1.0	95.239419	40.556637	5.0	0.014283	18.266239000000002	5.0	94.072676	38.615603	4.0	20.424044	46.420353000000006	4.0	0.010568000000000001	4.72797	3.0	50.721938
