uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
86.0	3.0	98.223584	56.146758999999996	50.262491	29.480156	0.797374	0.141237	0.239306	0.120354	22.318225	6.0	29.01655	21.26667	6.0	0.048376	0.081719	6.0	36.889163	3.516401	3.0	64.143561	4.732425	6.0	37.085258	17.131131	3.0	6.950475999999999	19.724566	4.0	0.111971	4.118348999999999	2.0	67.654841	2.986345	6.0	69.257452	16.013801	2.0	33.347175
149.0	3.0	72.016123	53.395929	63.696214000000005	35.433283	0.409047	0.798247	0.11539200000000001	0.147178	22.955366	3.0	82.611365	19.476860000000002	4.0	0.024656	1.958645	1.0	32.883194	0.589517	5.0	40.219361	9.047864	5.0	33.162233	6.365273	4.0	50.689021999999994	19.522139000000003	4.0	0.017143000000000002	2.504518	1.0	42.290068	0.182506	2.0	70.79870600000001	10.166041	4.0	32.028764
150.0	3.0	91.11837299999999	43.353724	79.404135	24.614435	0.165641	0.8736719999999999	0.626451	0.649839	19.920679	6.0	6.527736	22.521214999999998	2.0	0.014086000000000001	4.931541	4.0	23.302570000000003	6.256547	6.0	6.231489	18.16844	1.0	86.494856	11.986276	4.0	73.267287	15.389586999999999	2.0	0.017135	3.287507	3.0	28.707884000000004	5.832606	5.0	87.69837700000001	5.6448480000000005	1.0	10.43645
153.0	3.0	95.747291	98.710111	96.418438	17.318191	0.162601	0.8637020000000001	0.260915	0.7718729999999999	13.20093	4.0	23.417754000000002	10.814351	6.0	0.019786	0.812092	1.0	40.813124	5.064958	4.0	3.275841	9.866185	6.0	50.204654	5.957409999999999	6.0	23.596598	22.090995	1.0	0.014952000000000002	0.245509	4.0	59.178137	0.138388	4.0	60.119943000000006	19.389982999999997	5.0	60.488852
211.0	3.0	84.64171800000001	30.248597999999998	68.975628	79.089934	0.289559	0.62912	0.241423	0.914684	3.4950050000000004	5.0	83.79563900000001	14.248376	3.0	0.01975	0.815419	2.0	50.855072	5.725457	6.0	22.170716	23.430058	5.0	95.26286800000001	1.182418	3.0	50.954390999999994	7.492482000000001	5.0	0.018073	2.686114	1.0	61.232129	1.476436	4.0	71.359987	4.75014	5.0	35.428723
244.0	3.0	21.795026	66.865061	78.992928	68.92916600000001	0.12664	0.201779	0.204726	0.977748	15.466129	5.0	20.800517000000003	22.690881	6.0	0.023318000000000002	2.064093	1.0	86.14462900000001	5.9439910000000005	1.0	11.607087	15.693798999999999	6.0	87.743882	4.67049	1.0	36.617247	11.517354	3.0	0.018616999999999998	3.783985	5.0	1.5823260000000001	0.899538	4.0	97.810528	9.333304	1.0	49.551818
266.0	3.0	67.420009	84.583372	70.82578199999999	68.999183	0.174609	0.7768520000000001	0.3266	0.656941	21.62511	5.0	27.00405	1.245924	2.0	0.070221	0.8762190000000001	3.0	28.171143	5.0415	4.0	82.000638	7.692027	3.0	13.569366	23.563905	5.0	85.284149	9.226450999999999	1.0	0.010435999999999999	3.961587	1.0	68.30505	4.30096	6.0	83.32632	22.150643	5.0	31.742362
273.0	3.0	70.795865	41.214765	42.245478999999996	99.730939	0.13633399999999998	0.797082	0.394333	0.5188050000000001	14.139942999999999	6.0	6.798686	11.551416	3.0	0.0471	0.437699	3.0	85.492642	0.635092	2.0	62.931487	4.986332	2.0	10.741839	1.6822740000000003	1.0	46.680248999999996	20.748015	3.0	0.033686	4.655938	3.0	84.95568399999999	1.176197	1.0	64.05860600000001	23.24653	1.0	19.410328
306.0	3.0	28.268908000000003	47.90648	32.953963	74.475817	0.954939	0.308879	0.43616499999999997	0.650351	2.56472	1.0	58.143735	9.946933	1.0	0.01372	2.7068659999999998	1.0	40.243858	2.629808	4.0	4.912583000000001	4.145041	5.0	75.101506	4.4338940000000004	1.0	42.174325	17.299864000000003	1.0	0.324719	5.7109239999999994	5.0	4.640754	4.8990849999999995	1.0	94.98503199999999	10.536850999999999	6.0	88.546211
307.0	3.0	64.536691	21.367818	71.869958	69.131974	0.172098	0.621792	0.512418	0.303119	11.73862	3.0	35.356782	4.322545	3.0	0.045372	2.426644	1.0	78.615332	0.22950500000000001	6.0	4.884939	11.746852	1.0	44.458641	16.527641	4.0	40.232822999999996	21.644021	2.0	0.016329	2.408574	4.0	43.340038	1.162942	2.0	53.897224	24.880408	5.0	62.955317
