uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
11.0	2.0	84.429918	58.695599	56.051145999999996	55.445684	0.307242	0.6701090000000001	0.360196	0.844724	13.857554	5.0	15.083632000000001	4.78925	3.0	0.025789999999999997	4.25239	4.0	46.700807	2.709593	1.0	4.984506	19.50986	1.0	22.675296	8.246212	1.0	77.77422299999999	6.973505	5.0	0.011855	1.192509	1.0	81.830219	3.535944	6.0	96.562196	4.181204	4.0	38.450364
14.0	2.0	89.631599	22.822191	82.115959	82.211691	0.10331300000000002	0.673834	0.7062510000000001	0.239195	13.909610999999998	5.0	24.831318	16.640905	2.0	0.032964	2.478796	5.0	14.071975	4.574466	5.0	19.883879999999998	11.885325	3.0	71.048288	22.98487	4.0	5.842859	15.558504999999998	5.0	0.010783	5.784764	4.0	21.881595	0.733804	2.0	3.0025020000000002	2.4059049999999997	3.0	26.674733000000003
16.0	2.0	18.570815	22.43346	64.351616	90.625162	0.494537	0.6048439999999999	0.23228800000000002	0.959635	16.620051	1.0	22.483176999999998	19.40419	5.0	0.010320999999999999	6.117486	1.0	25.156325	3.432095	5.0	92.306914	2.7428220000000003	1.0	88.310979	7.199592	1.0	36.930494	21.190820000000002	6.0	0.010078	0.654295	6.0	32.528459999999995	5.889449	1.0	90.645586	22.316484	1.0	61.398299
17.0	2.0	84.140813	11.877311	19.125651	3.6166050000000003	0.9505170000000001	0.22141799999999998	0.9070379999999999	0.9942129999999999	9.382562	3.0	43.576527	19.046093	4.0	0.012193	5.5830459999999995	4.0	35.100265	0.48644799999999994	6.0	56.303962	19.395929000000002	3.0	2.2687	4.785506	4.0	7.168421	7.948955000000001	5.0	0.012116	1.400603	1.0	98.038439	1.1738469999999999	1.0	75.967834	16.034572	4.0	50.977681
19.0	2.0	11.455016	33.280334	56.211128	81.459783	0.8986059999999999	0.8085939999999999	0.43742299999999995	0.786281	2.004539	6.0	34.612142999999996	1.0550979999999999	1.0	0.050056	0.965277	5.0	88.98951600000001	1.115477	4.0	13.358847	10.946375	4.0	93.698352	1.6805900000000003	1.0	27.627989000000003	5.93412	5.0	0.044648	5.934933	1.0	43.368513	0.389264	6.0	75.740724	19.742065	1.0	56.536566
28.0	2.0	36.484749	59.990342000000005	30.538268	54.868726	0.9436260000000001	0.799535	0.21282800000000002	0.410474	6.489022	2.0	22.943197	13.465256	2.0	0.011231	1.87339	4.0	84.45136600000001	5.119265	5.0	27.750864	5.27545	1.0	57.288054	19.914879	6.0	6.718338	5.7593190000000005	5.0	0.025466	0.7450979999999999	4.0	81.987054	3.1261959999999998	1.0	68.910218	1.733082	6.0	30.576884000000003
30.0	2.0	96.574399	56.369054000000006	82.015417	31.611848	0.224807	0.43906999999999996	0.43925600000000004	0.823493	19.833982000000002	6.0	30.172796	12.502325	5.0	0.033522	5.531603	1.0	27.079682000000002	4.398251999999999	6.0	1.705898	9.084287	6.0	90.863786	0.878014	4.0	98.539757	3.4672059999999996	1.0	0.023431	5.2789410000000005	4.0	49.457840999999995	1.06512	4.0	6.572019	14.266045000000002	4.0	3.64165
35.0	2.0	24.023665	50.055995	86.92486	28.678274	0.750351	0.19689500000000001	0.156616	0.8821040000000001	21.292920000000002	2.0	21.883587	9.996619	3.0	0.028774	0.154728	2.0	52.363174	2.067691	6.0	61.647236	21.832853	2.0	22.588003	8.976217	3.0	17.976173	14.738189000000002	5.0	0.020986	5.71906	2.0	51.900023	3.515333	2.0	87.13023199999999	0.8316450000000001	5.0	27.397914
38.0	2.0	63.868868000000006	42.369661	64.30381700000001	97.774338	0.974397	0.334314	0.585885	0.856268	11.135286	1.0	50.099523	0.585232	6.0	0.012559	1.6877779999999998	5.0	34.391802	3.3690949999999997	2.0	48.019931	5.482068	4.0	59.366363	2.4753439999999998	6.0	55.557242	1.100287	6.0	0.038064999999999995	0.58597	2.0	38.796867	1.813816	2.0	54.133152	10.924917	1.0	45.264977
46.0	2.0	34.792196000000004	93.633945	57.479287	27.950466	0.516334	0.854042	0.9021899999999999	0.890515	23.142255	3.0	3.756264	4.896225	3.0	0.015488	4.530498000000001	1.0	50.605018	5.113897	2.0	35.039696	12.274339	1.0	2.046955	17.117345	6.0	9.282161	9.11829	2.0	0.021813	1.223832	4.0	32.970366	3.916153	1.0	45.777234	17.500418	6.0	79.198317
54.0	2.0	82.180341	48.359077	9.411164999999999	26.546035999999997	0.637309	0.774655	0.25242	0.118371	22.088156	1.0	47.959725	8.573787	6.0	0.012371	0.505359	2.0	4.672193	3.5892410000000003	3.0	11.062384	15.249621	1.0	12.962715	7.279296	2.0	74.793093	23.400957000000002	2.0	0.015888	1.156347	3.0	54.880678	3.294561	6.0	30.830608	17.480915	1.0	7.113681
