uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
32.0	3.0	79.827298	29.352551000000002	62.508777	72.089605	0.10589200000000001	0.49922	0.9525049999999999	0.575022	13.819033	1.0	44.673871000000005	11.495728999999999	3.0	0.031915	0.27871399999999996	3.0	34.883210999999996	3.5207589999999995	2.0	21.838589000000002	16.707268	3.0	14.905237	12.288802	5.0	47.450540999999994	3.9976589999999996	1.0	0.017457	0.409323	6.0	9.40579	4.694216	4.0	25.248759	24.204352	3.0	19.022722
53.0	3.0	37.455937	30.028229	41.935815999999996	9.357644	0.48979300000000003	0.464057	0.834199	0.117124	7.863747	1.0	96.073048	4.170769	2.0	0.085876	4.089544999999999	1.0	65.247733	0.184332	5.0	81.447253	9.169007	6.0	6.006831	19.375747	3.0	73.873841	14.86695	1.0	0.034946	1.814107	5.0	99.512603	1.437079	2.0	47.443816	16.248107	1.0	13.7272
104.0	3.0	39.441864	78.77466899999999	12.732428	65.747061	0.24023000000000003	0.644416	0.168317	0.110008	18.266051	4.0	47.262351	16.337878	2.0	0.0125	1.404454	2.0	18.528804	5.08969	6.0	9.187806	4.974826999999999	2.0	36.880955	24.857688	2.0	41.334328	7.3502089999999995	6.0	0.011754	1.825871	6.0	88.278827	2.740248	1.0	91.711561	2.019858	1.0	41.127728000000005
106.0	3.0	58.261807	45.173185	96.80829399999999	15.073095	0.21825	0.847743	0.403523	0.48684799999999995	3.9327	5.0	11.32338	2.3927869999999998	3.0	0.021209	0.5082760000000001	5.0	59.23374200000001	1.358184	4.0	70.261776	6.286988	3.0	18.728837	7.806978999999999	2.0	88.951971	15.536745000000002	2.0	0.020902	5.654542	1.0	94.950579	1.274073	5.0	25.871991	4.606522	6.0	37.631334
108.0	3.0	94.903348	57.207646	64.508309	58.261689000000004	0.475355	0.630717	0.11246700000000001	0.714561	8.05915	2.0	76.35821	19.297306	1.0	0.05909400000000001	0.861411	3.0	50.649246000000005	0.466079	1.0	59.319802	9.154811	2.0	10.39896	14.957889000000002	3.0	84.01840899999999	12.012559	4.0	0.015784	0.11634000000000001	5.0	23.840939000000002	0.122494	4.0	20.705957	11.625318	2.0	16.321861
148.0	3.0	20.5932	14.686648000000002	86.273044	58.602691	0.665746	0.220523	0.35652	0.291991	19.444736	5.0	64.743651	0.580497	2.0	0.825548	0.562014	4.0	97.161941	3.280071	2.0	49.601514	8.295978999999999	3.0	64.94976700000001	17.195726999999998	1.0	41.842276	15.004957000000001	2.0	0.0124	1.105271	3.0	73.00715500000001	3.860322	4.0	7.83573	5.502785	1.0	90.195398
182.0	3.0	82.735156	27.252788	69.581723	90.825367	0.5531159999999999	0.368635	0.609598	0.708262	8.720248	3.0	24.662469	15.525393	4.0	0.033238	1.5321200000000001	4.0	70.385317	1.337416	6.0	40.719919	17.360301	3.0	14.415865	15.035844	2.0	38.155153999999996	20.68908	2.0	0.013447999999999998	2.848983	1.0	1.908148	0.5808409999999999	5.0	82.815273	2.5228189999999997	5.0	39.699069
232.0	3.0	90.914447	32.192190000000004	87.046545	26.519616999999997	0.559665	0.524183	0.582433	0.335032	9.674321	2.0	25.140924	13.500782000000001	5.0	0.151054	3.198336	3.0	26.129357000000002	5.876975	5.0	29.595366	3.542125	1.0	91.474586	7.799347	3.0	27.287373	4.577598	5.0	0.051953	1.078611	3.0	13.285469	4.376672	3.0	48.282119	22.940089999999998	1.0	96.387024
253.0	3.0	99.856431	15.965291	24.620323000000003	51.908882	0.522703	0.662139	0.19201300000000002	0.140868	2.637007	5.0	3.759268	4.456513	3.0	0.033592000000000004	0.35441100000000003	2.0	76.247551	5.8965879999999995	4.0	81.14909899999999	4.917974	3.0	94.075838	17.324112	1.0	92.497978	3.4096519999999995	1.0	0.018867	0.063503	3.0	60.724608999999994	3.021289	6.0	36.451009	15.730104	2.0	40.227081
260.0	3.0	21.65083	83.352127	91.80399200000001	23.385362	0.304983	0.39104099999999997	0.23879	0.752916	21.604532	3.0	2.292919	9.905157	6.0	0.07610399999999999	4.9369760000000005	4.0	71.367689	1.799191	5.0	57.44995600000001	13.131775	2.0	62.436503	11.758077	1.0	2.738252	11.077516000000001	6.0	0.069999	4.310134	5.0	46.908482	1.5545129999999998	2.0	52.616928	20.010036	3.0	41.923631
