uid	num_states	Prod_of_HNF4A	Prod_of_HNF1A	Prod_of_PPARG	Prod_of_SREBF1	Deg_of_HNF4A	Deg_of_HNF1A	Deg_of_PPARG	Deg_of_SREBF1	Trd_of_HNF1AToHNF4A	Num_of_HNF1AToHNF4A	Act_of_HNF1AToHNF4A	Trd_of_SREBF1ToHNF4A	Num_of_SREBF1ToHNF4A	Inh_of_SREBF1ToHNF4A	Trd_of_HNF4AToHNF4A	Num_of_HNF4AToHNF4A	Act_of_HNF4AToHNF4A	Trd_of_HNF4AToHNF1A	Num_of_HNF4AToHNF1A	Act_of_HNF4AToHNF1A	Trd_of_HNF1AToHNF1A	Num_of_HNF1AToHNF1A	Act_of_HNF1AToHNF1A	Trd_of_SREBF1ToPPARG	Num_of_SREBF1ToPPARG	Act_of_SREBF1ToPPARG	Trd_of_HNF1AToPPARG	Num_of_HNF1AToPPARG	Inh_of_HNF1AToPPARG	Trd_of_PPARGToPPARG	Num_of_PPARGToPPARG	Act_of_PPARGToPPARG	Trd_of_PPARGToSREBF1	Num_of_PPARGToSREBF1	Act_of_PPARGToSREBF1	Trd_of_SREBF1ToSREBF1	Num_of_SREBF1ToSREBF1	Act_of_SREBF1ToSREBF1
5.0	4.0	67.520884	44.385751	54.359388	32.017301	0.860917	0.24270100000000003	0.145108	0.592172	18.090529	5.0	40.168085	25.541335999999998	3.0	0.014594999999999999	5.179466000000001	1.0	58.57091	5.628924	5.0	11.790463	10.303038	3.0	27.243664000000003	18.101285999999998	2.0	88.243353	4.063537	2.0	0.029377999999999998	3.753676	2.0	79.339935	1.582382	5.0	84.62129499999999	22.521576	2.0	67.63845400000001
70.0	4.0	60.245817	68.177192	41.686516	40.358307	0.810353	0.47396099999999997	0.302731	0.388399	15.855620000000002	5.0	8.872057	3.894625	1.0	0.056627	4.496238	5.0	30.167796000000003	5.14307	6.0	45.593802000000004	12.246118	1.0	12.609658	24.598572	4.0	86.540075	10.584894	3.0	0.089611	2.412086	3.0	1.835406	2.252079	3.0	92.06087600000001	23.848923000000003	1.0	81.744856
100.0	4.0	94.797717	51.068839000000004	90.651834	52.599137	0.9842709999999999	0.7681720000000001	0.15773800000000002	0.5727260000000001	8.739666999999999	3.0	81.747175	16.349549	2.0	0.270886	4.12332	4.0	91.668418	2.459677	2.0	64.581412	1.585126	2.0	55.82165500000001	24.487223	3.0	74.956287	15.031822	1.0	0.011154	5.760989	2.0	69.760467	5.706096	1.0	20.698348	24.821652	3.0	92.250252
130.0	4.0	25.590471	96.89720600000001	61.645155	60.094797	0.185881	0.736648	0.268849	0.7353529999999999	21.888645	5.0	79.687726	7.558967	3.0	0.034474	2.013488	2.0	23.656662	1.060725	5.0	86.696827	17.121354	4.0	89.41203	24.606060999999997	3.0	70.726045	18.591729	4.0	0.06436900000000001	3.8989620000000005	5.0	59.351216	5.586967	1.0	29.211776	11.327871	2.0	13.425695999999999
134.0	4.0	93.165038	47.558038	50.003938	54.57206	0.155162	0.850016	0.307195	0.38217399999999996	2.906434	6.0	36.701962	15.522601000000002	1.0	0.021863	5.717880999999999	3.0	86.184997	2.1589970000000003	4.0	65.319902	19.317976	1.0	18.367501999999998	19.756438	4.0	92.038173	19.57474	1.0	0.016368	4.9197120000000005	3.0	45.979856	3.501186	6.0	63.030516000000006	23.126929999999998	5.0	48.459133
186.0	4.0	28.380043	70.292636	43.208878000000006	96.133772	0.130158	0.938932	0.808271	0.687713	17.59906	4.0	48.472195	20.140732999999997	1.0	0.244246	4.298833	4.0	31.489071000000003	2.0225299999999997	2.0	65.086158	19.628763	4.0	72.268274	0.90928	6.0	80.412806	2.819814	1.0	0.130138	2.965248	1.0	85.325023	5.377231	3.0	68.08491	5.6975620000000005	4.0	99.713689
208.0	4.0	69.18615600000001	68.592538	75.401097	74.70181600000001	0.132881	0.616816	0.8166720000000001	0.6777920000000001	16.826395	5.0	10.290677	2.572683	2.0	0.025352	0.158608	1.0	58.15733	3.2583860000000002	6.0	42.32117	16.175207999999998	5.0	68.291525	20.687383999999998	2.0	80.8288	19.846736	1.0	0.011804	4.287724	2.0	7.968945	5.1003	5.0	49.012149	12.957692	4.0	35.122876
219.0	4.0	54.383377	95.521412	53.991117	63.97595	0.167079	0.639389	0.453384	0.874233	14.582213000000001	5.0	28.073701	10.288486	6.0	0.093069	4.398095	6.0	47.93886	0.735476	2.0	26.030642	13.413426000000001	3.0	82.968179	14.713871	4.0	38.764136	18.940839999999998	2.0	0.014493	5.150798	1.0	7.677442999999999	1.662094	6.0	55.633759999999995	1.3275709999999998	5.0	43.662181
239.0	4.0	97.775989	29.501443	97.104458	23.009072	0.654954	0.562117	0.296769	0.854749	13.390761	2.0	62.63330799999999	10.496478999999999	3.0	0.010265	2.350828	5.0	35.542389	5.810718	6.0	9.726382000000001	21.053226000000002	2.0	33.212657	7.215174	2.0	61.699360999999996	16.952317999999998	3.0	0.012913999999999998	5.919528	5.0	15.019501000000002	5.447472	3.0	51.671473999999996	11.524372	2.0	67.500031
247.0	4.0	46.633866999999995	63.401222	34.250116	44.182358	0.125599	0.731881	0.23502199999999998	0.8396979999999999	11.484618	6.0	91.082741	15.112808	3.0	0.013431	4.989464	3.0	71.381427	6.134217	4.0	15.996839000000001	21.890847	3.0	48.50985	18.476964000000002	2.0	71.790238	12.850757000000002	1.0	0.197154	3.1071400000000002	2.0	81.87275	3.540757	2.0	1.478589	12.641169	6.0	21.436339999999998
